regime,stage,recovery_rate,false_admission_rate,missed_admission_rate,rows
FULL,A,1.0,0.0,0.0,20
FULL,C,0.0,0.0,1.0,20
FULL,K,0.5,0.0,0.5,20
FULL,W,0.5,0.0,0.5,20
KCW,A,0.5,0.5,0.0,20
KCW,C,0.05,0.0,0.95,20
KCW,K,0.55,0.0,0.45,20
KCW,W,0.5,0.0,0.5,20
K_ONLY,A,0.7,0.3,0.0,20
K_ONLY,C,0.8,0.2,0.0,20
K_ONLY,K,0.8,0.0,0.2,20
K_ONLY,W,0.95,0.05,0.0,20
NULL,A,0.85,0.15,0.0,20
NULL,C,0.85,0.15,0.0,20
NULL,K,0.85,0.15,0.0,20
NULL,W,0.8,0.2,0.0,20

