direction,partition,information_set,rows,support_hash,prefix,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill,persistence_skill_mse,persistence_skill_rmse,parameter_count
Rod_1_to_Rod_2,development_validation,input_only,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,IDENTITY,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,input_only,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,K,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,input_only,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,KC,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,input_only,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,KCW,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,input_only,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,KCWA,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,input_only,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,J,0.016693453124260807,0.013341151016478195,0.0717148967589546,0.9992118542037891,0.07377391320202287,0.07377391320202287,0.037593595824520265,31
Rod_1_to_Rod_2,development_validation,dynamic,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,IDENTITY,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,dynamic,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,K,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,dynamic,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,KC,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,dynamic,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,KCW,0.017350161942291026,0.013455874049607632,-0.00275787816282258,0.9991486242712159,-0.0005336746801374304,-0.0005336746801374304,-0.0002668017484821483,1
Rod_1_to_Rod_2,development_validation,dynamic,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,KCWA,0.016010343668195613,0.012814853154863888,0.14613281037997672,0.999275037557242,0.14802676147052607,0.14802676147052607,0.07697603577725365,13
Rod_1_to_Rod_2,development_validation,dynamic,3856,9b78541721a9cee5ac50966508c2ef13a108d0c53782c5d38d487374d883b33d,J,0.01616956611944998,0.012989523177032997,0.12906498680076983,0.9992605463913735,0.13099679579647594,0.13099679579647594,0.06779658646649234,43

