direction,partition,information_set,rows,support_hash,prefix,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill,persistence_skill_mse,persistence_skill_rmse,parameter_count
Rod_2_to_Rod_1,development_validation,input_only,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,IDENTITY,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,input_only,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,K,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,input_only,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,KC,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,input_only,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,KCW,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,input_only,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,KCWA,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,input_only,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,J,0.016286630425305815,0.013046493020803632,-0.029898582502591253,0.9821740403174233,-0.029289669780175442,-0.029289669780175442,-0.014539141571273007,31
Rod_2_to_Rod_1,development_validation,dynamic,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,IDENTITY,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,dynamic,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,K,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,dynamic,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,KC,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,dynamic,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,KCW,0.016087834009672557,0.01264989447115353,-0.004909913773085917,0.982606555721233,-0.004315775241608977,-0.004315775241608977,-0.0021555643918806933,1
Rod_2_to_Rod_1,development_validation,dynamic,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,KCWA,0.015774066785981172,0.012610718458216198,0.03390612682486349,0.9832784016548924,0.03447731593068304,0.03447731593068304,0.017389861608726798,13
Rod_2_to_Rod_1,development_validation,dynamic,4022,1955fc81810d0fdaf067a4eb6d1befa0deb2a3fd0798d0bf8173ba402ff89bf5,J,0.01587107502685454,0.012728776135819514,0.02198691184761914,0.9830720983846073,0.02256514801784315,0.02256514801784315,0.011346950653487897,43

