scenario,seed,variable,distribution,resolution_role,lag_basis_type,lag_basis_count,amplitude_basis_count,selected_lag_smoothing,selected_amplitude_smoothing,validation_contribution_mse,validation_contribution_r2,test_contribution_mse,test_contribution_r2,empirical_operator_nrmse,core_surface_nrmse,fit_surface_nrmse,e1b_projection_core_nrmse,estimator_to_projection_core_nrmse,kkt_relative_residual,design_condition_number,effective_rank,truth_rank_class,estimated_sigma1,estimated_sigma2,rank1_validation_mse,rank2_validation_mse,rank2_reducible_gap_capture,candidate_count,seed_gate_pass
AR-S1,0,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,4.632618961482437e-12,0.9999999950496318,3.759462837301992e-12,0.9999999959719419,7.035885282736173e-05,0.04510085879475371,0.6244652796584418,5.461320091568112e-05,nan,2.9611186527796087e-15,59891.54312850836,33.25034395696773,rank1,0.02684759388813877,0.0001806041081034078,8.941458301043449e-07,2.943263147141786e-07,0.670833104522031,25,True
AR-S1,0,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.1472398934963397e-11,0.999999999481958,9.924877701620773e-12,0.9999999995508474,2.276053711391077e-05,0.013538934645621462,0.8867747620936631,1.527277938930946e-13,nan,1.3936022565303805e-15,146089.70484347397,30.517805712831848,rank1,0.02688425986144234,0.00026017931807342673,1.0417143488123708e-07,6.335122674670124e-08,0.39189922079197775,25,True
AR-S1,0,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,6.143978503219784e-13,0.9999999984895902,5.91940903972456e-13,0.9999999985346218,3.8863990479608166e-05,0.0072813418468309875,0.5847710474522498,8.636764816562754e-05,nan,4.5343703356630694e-15,995056.8153113334,32.41463096285045,rank1,0.018745634078817856,8.808324596718603e-05,1.8235322688518994e-08,2.0769698206019334e-08,-0.13898634829257273,25,True
AR-S1,1,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,3.0992628800750947e-12,0.9999999984219692,3.3427990833063645e-12,0.999999998300753,3.972443549848086e-05,0.018916392098065542,0.6773553253048755,7.382851645049534e-05,nan,2.457768608665757e-15,763241.819507511,30.885132191017934,rank1,0.027459664742027132,0.0001279869765810972,1.2460025016115056e-07,5.9247399586315484e-08,0.5245132019767735,25,True
AR-S1,1,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,5.053028709144394e-13,0.9999999998799961,6.145381640950822e-13,0.9999999998540391,1.0954629377477291e-05,0.006912922209934823,0.8845349751515718,2.2625092730199423e-14,nan,1.76350848383374e-15,114320.89386939735,31.593013343828883,rank1,0.025808462954906148,0.00014421827360007347,9.360330740794029e-09,6.423679750581482e-08,-5.862979724245533,25,True
AR-S1,1,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,9.77416642450869e-13,0.9999999996970735,1.026890537997113e-12,0.9999999996818156,1.740478238265041e-05,0.02744183758351229,0.5652047754140045,5.5536647809756065e-05,nan,2.0569435880516504e-15,124260.30325699644,36.364770634845044,rank1,0.01830524890523105,0.00019233889895805994,2.2538022285805322e-07,1.6579922738490682e-07,0.2643588381727677,25,True
AR-S1,2,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.9889033360518318e-12,0.9999999979883731,1.8909838545289054e-12,0.9999999980852831,4.485116353661076e-05,0.0049923039494590565,0.6463107188612376,6.076079896537883e-05,nan,2.7783646679309058e-15,351773.02396933496,33.18560970246333,rank1,0.027940965515649733,7.663699787622486e-05,1.8269881997838848e-08,1.9232028657493326e-08,-0.052668726200505805,25,True
AR-S1,2,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,5.898497285624548e-13,0.9999999999757835,5.648883570613505e-13,0.999999999976862,4.921031118594952e-06,0.005851693604445669,0.8736540501252573,2.75133205298241e-12,nan,1.4074367806258874e-15,28077.408357764096,35.65672394177898,rank1,0.027734550051847714,4.5653182812706736e-05,1.4086782843374331e-08,2.4356142628363192e-08,-0.7290372771139322,25,True
AR-S1,2,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.1531115569570502e-12,0.9999999972959246,1.1218849884696684e-12,0.9999999973780963,5.200072520514239e-05,0.004505216048694492,0.6024374098316451,0.00013128053416396017,nan,4.3787895511575615e-15,998399.9408316758,30.110344124207153,rank1,0.018629176582934732,4.662621638275299e-05,5.3617481571124625e-08,1.1843350292048205e-08,0.7791307700335821,25,True
AR-S1,3,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,6.068191263666706e-13,0.9999999996447538,6.00824133413867e-13,0.9999999996481981,1.8847974454827553e-05,0.006184146806842202,0.5846050079958572,3.9437941124429434e-05,nan,2.616777215522695e-15,308995.32922575396,36.33157078609885,rank1,0.02802422320982415,5.761999447365661e-05,9.030742803908265e-08,4.989548552739722e-08,0.4474960137646288,25,True
AR-S1,3,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.2457811369756844e-12,0.9999999995757468,1.2303531973024161e-12,0.9999999995817125,2.0597406986326662e-05,0.010929771967801523,0.8688801764694208,6.599890118512185e-15,nan,2.705952798732574e-15,294478.1106709666,34.91868011013499,rank1,0.025540598121868516,8.657554409774965e-05,1.424793286098249e-07,1.674568088041346e-07,-0.1753075258904346,25,True
AR-S1,3,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,3.947695803216027e-13,0.9999999992670849,3.5359917061716707e-13,0.9999999993463633,2.7072403416165068e-05,0.004800651501610557,0.5548196755906153,5.83658398380795e-05,nan,4.097457224865763e-15,292929.96299921,35.81289942402276,rank1,0.01875336800991081,5.4786909411291735e-05,2.767934653873234e-08,1.2697825628225702e-08,0.5412604146087435,25,True
AR-S1,4,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.1325113075893905e-12,0.9999999995556885,1.1090694808763978e-12,0.9999999995656551,2.1078696095823215e-05,0.01574280412988519,0.6253422843168489,4.494969445648664e-05,nan,2.067953943962411e-15,37178.40296246629,34.72754535628414,rank1,0.02762018726183289,9.086341879659003e-05,8.357416361851784e-08,1.744902240938554e-08,0.7912258336580467,25,True
AR-S1,4,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.2216841075307162e-12,0.9999999997993247,1.0273220887808457e-12,0.9999999998305522,1.4165987947202766e-05,0.01120331230706919,0.8951417653247015,3.0746301719533515e-10,nan,3.542746039311612e-15,36152.73438103523,32.78862031114506,rank1,0.025277027653453295,0.0001307191522866734,1.7396515782748852e-08,3.6878229048786065e-08,-1.1199415862453774,25,True
AR-S1,4,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,4.73980476268852e-13,0.9999999996321769,4.874734764199912e-13,0.9999999996222287,1.9178715917479906e-05,0.005079950535588668,0.556273924309191,7.479064677927694e-05,nan,5.6667165235961705e-15,39431.54644985774,34.26164376073778,rank1,0.01869300480905793,6.805270141269139e-05,1.9103154641214418e-08,1.8514845581606485e-08,0.03079719909766842,25,True
AR-S2,0,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,4.1296737380562085e-12,0.9999999984549469,3.3508799877656804e-12,0.9999999987425606,3.930716325436585e-05,0.05042775524703042,0.6251552370634124,5.461320091568118e-05,nan,1.6781442608156998e-15,59891.54312850836,33.25034395696773,rank1,0.02421397339383464,0.000161667578337417,1.912593256893041e-06,7.812802415196806e-07,0.5915086514259165,25,False
