variant,removed_family,stage_vector,admission_margin,rmse,mae,r2
STANDARD_FULL_FAMILY,NONE,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
REMOVE_NONLINEAR_K,NONLINEAR_K,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
REMOVE_C,C,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
REMOVE_W,W,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
REMOVE_A,A,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
