scenario,seed,variable,domain,lag_basis_type,lag_basis_count,amplitude_basis_count,epsilon_lag,epsilon_amplitude,epsilon_amplitude_given_lag,epsilon_lag_given_amplitude,epsilon_joint,operator_error,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,operator_error_over_sigma2,operator_error_over_gap,truth_rank_class
AR-S1,0,1,fit,cubic_bspline,40,28,0.00048286160729893885,4.059538557234073e-15,4.07169966962186e-15,0.0004828616072989392,0.0004828616072989447,7.994390341355394e-05,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,360035333623.82446,360035333623.82446,rank1
AR-S1,0,1,fit,cubic_bspline,48,28,7.165228360642744e-05,4.059538557234073e-15,4.070462531002202e-15,7.16522836064275e-05,7.165228360640267e-05,1.1862950280999378e-05,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,53425978465.02352,53425978465.02352,rank1
AR-S1,0,1,fit,discrete_identity,64,28,0.0,4.059538557234073e-15,4.059538557234073e-15,0.0,4.0861089254861575e-15,6.734729363469842e-16,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,3.0330524651763917,3.0330524651763917,rank1
AR-S1,0,1,fit,cubic_bspline,32,32,0.0007721047578592841,6.06973556279129e-15,6.077372487572666e-15,0.000772104757859284,0.0007721047578592912,0.00012783179953512852,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,575703244752.5048,575703244752.5048,rank1
AR-S1,0,1,fit,cubic_bspline,40,32,0.00048286160729893885,6.06973556279129e-15,6.079810113353627e-15,0.0004828616072989388,0.00048286160729895533,7.994390341355572e-05,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,360035333623.83246,360035333623.83246,rank1
AR-S1,0,1,fit,cubic_bspline,48,32,7.165228360642744e-05,6.06973556279129e-15,6.079110869902449e-15,7.165228360642743e-05,7.165228360641336e-05,1.1862950281001152e-05,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,53425978465.03151,53425978465.03151,rank1
AR-S1,0,1,fit,discrete_identity,64,32,0.0,6.06973556279129e-15,6.06973556279129e-15,0.0,6.080380334631929e-15,1.004568966762987e-15,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,4.524176424381753,4.524176424381753,rank1
AR-S1,0,2,core,cubic_bspline,32,24,0.00030302151217621816,0.00018109783075915056,0.0001810978224447651,0.0003030215072072262,0.00035301339653870286,5.6946941579758325e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,25646622487.8489,25646622487.8489,rank1
AR-S1,0,2,core,cubic_bspline,40,24,4.920953897642639e-05,0.00018109783075915056,0.00018109783053988206,4.920953816948103e-05,0.00018766460228963024,3.4033780048909877e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,15327451914.627995,15327451914.627995,rank1
AR-S1,0,2,core,cubic_bspline,48,24,1.779361480480233e-05,0.00018109783075915056,0.00018109783073049044,1.7793614513019986e-05,0.00018196987943917207,3.40337800456758e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,15327451913.171495,15327451913.171495,rank1
AR-S1,0,2,core,discrete_identity,64,24,0.0,0.00018109783075915056,0.00018109783075915056,0.0,0.0001810978307591475,3.4033780045623496e-06,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,15327451913.14794,15327451913.14794,rank1
