direction,information_set,alpha,seed,mode,active_signature,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill
Rod_1_to_Rod_2,input_only,0.0,0,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,1,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,2,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,3,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,4,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,5,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,6,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,7,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,8,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.0,9,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,0,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,1,N2_REIDENTIFICATION,K+W,0.7242117369390884,0.6263454196920218,0.362890392438063,-0.8090160749756325,0.20247949469095416
Rod_1_to_Rod_2,input_only,0.25,2,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,3,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,4,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,5,N2_REIDENTIFICATION,K+W,0.7581304211214649,0.6607166242449902,0.30181440560753847,-0.9824359083293213,0.16512737131488398
Rod_1_to_Rod_2,input_only,0.25,6,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,7,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.25,8,N2_REIDENTIFICATION,K+W,0.7452590629550591,0.6455837664813987,0.3253204157891393,-0.9156926827173586,0.17930164044820662
Rod_1_to_Rod_2,input_only,0.25,9,N2_REIDENTIFICATION,ZERO,0.912067824415703,0.798032750973751,-0.010502300662907915,-1.8692314226659459,-0.004392438154192435
Rod_1_to_Rod_2,input_only,0.5,0,N2_REIDENTIFICATION,W,0.8122643839110272,0.6991085950619494,0.19854737092958052,-1.2756534701588715,0.10551366560392006
Rod_1_to_Rod_2,input_only,0.5,1,N2_REIDENTIFICATION,K+W,0.7746214619986003,0.6732941809999052,0.2711098396204531,-1.069618793011204,0.14696701491277375
Rod_1_to_Rod_2,input_only,0.5,2,N2_REIDENTIFICATION,K+W,0.7750218146965006,0.6733649335100507,0.2703562107414412,-1.071758655195843,0.14652613627239053
Rod_1_to_Rod_2,input_only,0.5,3,N2_REIDENTIFICATION,W,0.8571998826373908,0.7322517709863968,0.10741981335613715,-1.5344020662669635,0.056029544009826626
Rod_1_to_Rod_2,input_only,0.5,4,N2_REIDENTIFICATION,K+W,0.7915009348778075,0.6846241549975022,0.23899782026530447,-1.160798016372301,0.1283789072457091
Rod_1_to_Rod_2,input_only,0.5,5,N2_REIDENTIFICATION,K+W,0.8019778698741462,0.6998533620264681,0.21871802450126587,-1.21838069304038,0.11684143820704751
Rod_1_to_Rod_2,input_only,0.5,6,N2_REIDENTIFICATION,K+W,0.8092762032591749,0.7082159838599545,0.20443333639089722,-1.2589407946476388,0.10880432663834683
Rod_1_to_Rod_2,input_only,0.5,7,N2_REIDENTIFICATION,K+W,0.7931914275956427,0.6891315135503789,0.2357436422592063,-1.1700379654391346,0.12651729338641515
Rod_1_to_Rod_2,input_only,0.5,8,N2_REIDENTIFICATION,K+W,0.7945632358196234,0.6913987781665695,0.233097825058607,-1.177550528097922,0.1250066230504161
Rod_1_to_Rod_2,input_only,0.5,9,N2_REIDENTIFICATION,W,0.860121629300062,0.7381087885557506,0.10132476433140059,-1.551708415963542,0.05281204178506704
Rod_1_to_Rod_2,input_only,1.0,0,N2_REIDENTIFICATION,W,0.8957607212430995,0.7825031804993733,0.02530875263497201,-1.7675491213652395,0.013565361338686244
