"contribution_corr","full_contribution_rmse","missed_variable_failure","response_conditioned_contribution_rmse","seed","selected","variable","variable_contribution_rmse"
"0.9999950196929774","0.0007134926152235027","False","0.00010936063870022396","0","True","0","0.0007134926152235027"
"0.9999957330934668","0.00055527583987436","False","0.0001054156878226069","0","True","1","0.00055527583987436"
"0.9999853516670135","0.0007826625821955347","False","0.00017366837273190004","0","True","2","0.0007826625821955347"
"0.9999481333021822","0.0022484242791979163","False","0.00036218639623053804","1","True","0","0.0022484242791979163"
"0.9999906884493603","0.0008697902031850528","False","0.00016844396647134612","1","True","1","0.0008697902031850528"
"0.9999787744899836","0.0009417197838426045","False","0.0001956160311646017","1","True","2","0.0009417197838426045"
"0.999983469108545","0.0013131863391906311","False","0.00018780191779162812","2","True","0","0.0013131863391906311"
"0.9999964707566881","0.0005237632110869065","False","0.00010982721706591695","2","True","1","0.0005237632110869065"
"0.9999860199324764","0.0007484825724212122","False","0.00015811560433418975","2","True","2","0.0007484825724212122"
"0.9999944405235796","0.000753507899152084","False","0.00012409313390385798","3","True","0","0.000753507899152084"
"0.9999992795777056","0.00024819930512025485","False","5.317944464010727e-05","3","True","1","0.00024819930512025485"
"0.9999954337722923","0.00042677000600313607","False","8.275403855229437e-05","3","True","2","0.00042677000600313607"
"0.9999728823085694","0.0016897080237136739","False","0.0002663687782981888","4","True","0","0.0016897080237136739"
"0.9999873930687913","0.0009451388527902028","False","0.00016163095503530256","4","True","1","0.0009451388527902028"
"0.9999859385987498","0.0007622940350191982","False","0.00015539244396190505","4","True","2","0.0007622940350191982"
