"boundary_mass","mean_delay_mae","metric_scope","peak_error","q_correlation","seed","selected","std_delay_mae","variable","w1"
"7.93035578681156e-05","0.0005239491635862237","support_aware","0","0.9999999944846281","0","True","0.0003316229539631621","0","0.0005231478478268315"
"0.0009975060820579529","0.007433283880502017","support_aware","0","0.9999992821608372","0","True","0.005934978507998956","1","0.007508878258442804"
"0.01565103977918625","0.007886201397067083","support_aware","0","0.9999990753535283","0","True","0.005395833626937296","2","0.008126619133372693"
"7.963357347762212e-05","0.0006700709766604973","support_aware","0","0.9999999898021545","1","True","0.0008466400073228186","0","0.0007453707153661525"
"0.0009892883244901896","0.011660767219993318","support_aware","0","0.9999982549119314","1","True","0.00982883756349473","1","0.011838814837312575"
"0.015622936189174652","0.01184706672853153","support_aware","1","0.9999978240678715","1","True","0.006268942026698809","2","0.011896993381470381"
"7.937657937873155e-05","0.0005996289980672032","support_aware","0","0.9999999840280548","2","True","7.230380283074211e-05","0","0.000597920127148693"
"0.0009990388061851263","0.007131687361081163","support_aware","0","0.9999993104846097","2","True","0.005158144486944849","1","0.007154519581029138"
"0.015660561621189117","0.008472123902773632","support_aware","1","0.9999988837285486","2","True","0.004433081774587677","2","0.008502120310823374"
"7.961015944601968e-05","0.000579257825187085","support_aware","0","0.9999999917365918","3","True","0.0007634885317879814","0","0.0006596096337252048"
"0.0010038852924481034","0.0033793110152799954","support_aware","0","0.9999998543056983","3","True","0.003013566642673382","1","0.003468068008981039"
"0.015714487060904503","0.0030543884086533524","support_aware","0","0.999999861004767","3","True","0.0020110765246919016","2","0.003129216584210382"
"7.997738430276513e-05","0.0012784774665064447","support_aware","0","0.9999999348615962","4","True","0.002066337975049848","0","0.0016548740226072505"
"0.0010032487334683537","0.0067098676037602445","support_aware","0","0.9999991587791104","4","True","0.002984490849126331","1","0.0067084783916239715"
"0.015636686235666275","0.009466149339512953","support_aware","1","0.9999986604073925","4","True","0.0059947879165997975","2","0.00964841465444698"
"7.93035578681156e-05","0.0005239491635862237","conditional","0","0.9999999944846281","0","True","0.0003316229539631621","0","0.0005231478478268315"
"0.0009975060820579529","0.007433283880502017","conditional","0","0.9999992821608372","0","True","0.005934978507998956","1","0.007508878258442804"
"0.01565103977918625","0.007886201397067083","conditional","0","0.9999990753535283","0","True","0.005395833626937296","2","0.008126619133372693"
"7.963357347762212e-05","0.0006700709766604973","conditional","0","0.9999999898021545","1","True","0.0008466400073228186","0","0.0007453707153661525"
"0.0009892883244901896","0.011660767219993318","conditional","0","0.9999982549119314","1","True","0.00982883756349473","1","0.011838814837312575"
"0.015622936189174652","0.01184706672853153","conditional","1","0.9999978240678715","1","True","0.006268942026698809","2","0.011896993381470381"
"7.937657937873155e-05","0.0005996289980672032","conditional","0","0.9999999840280548","2","True","7.230380283074211e-05","0","0.000597920127148693"
"0.0009990388061851263","0.007131687361081163","conditional","0","0.9999993104846097","2","True","0.005158144486944849","1","0.007154519581029138"
"0.015660561621189117","0.008472123902773632","conditional","1","0.9999988837285486","2","True","0.004433081774587677","2","0.008502120310823374"
"7.961015944601968e-05","0.000579257825187085","conditional","0","0.9999999917365918","3","True","0.0007634885317879814","0","0.0006596096337252048"
"0.0010038852924481034","0.0033793110152799954","conditional","0","0.9999998543056983","3","True","0.003013566642673382","1","0.003468068008981039"
"0.015714487060904503","0.0030543884086533524","conditional","0","0.999999861004767","3","True","0.0020110765246919016","2","0.003129216584210382"
"7.997738430276513e-05","0.0012784774665064447","conditional","0","0.9999999348615962","4","True","0.002066337975049848","0","0.0016548740226072505"
"0.0010032487334683537","0.0067098676037602445","conditional","0","0.9999991587791104","4","True","0.002984490849126331","1","0.0067084783916239715"
"0.015636686235666275","0.009466149339512953","conditional","1","0.9999986604073925","4","True","0.0059947879165997975","2","0.00964841465444698"
