"centering_invariance","function_corr","function_normalized_rmse","function_rmse","missed_variable_failure","seed","selected","variable"
"1.1920928955078125e-07","0.999994792761421","0.003329494187402095","0.0020657209760710487","False","0","True","0"
"1.1920928955078125e-07","0.9999954346339168","0.0033224950380072783","0.0022577512093556514","False","0","True","1"
"1.1920928955078125e-07","0.9999814687517481","0.006133314550387644","0.004369182692822129","False","0","True","2"
"1.2665987014770508e-07","0.9999430326367323","0.011125145938559568","0.006902383975947372","False","1","True","0"
"1.2665987014770508e-07","0.9999891257212704","0.005309986938491417","0.003608321244997882","False","1","True","1"
"1.2665987014770508e-07","0.9999767147371036","0.006901927044555195","0.004916718349018249","False","1","True","2"
"8.940696716308594e-08","0.9999845201827694","0.005718917117252436","0.0035481927237536338","False","2","True","0"
"8.940696716308594e-08","0.9999953833131642","0.0034424024560337245","0.0023392324801967033","False","2","True","1"
"8.940696716308594e-08","0.999984471683769","0.0055901747714832434","0.003982266792410277","False","2","True","2"
"1.4901161193847656e-07","0.9999935867393389","0.0038032176525951756","0.002359633637822823","False","3","True","0"
"1.4901161193847656e-07","0.9999990945081395","0.0016623016196678306","0.0011295919028279015","False","3","True","1"
"1.4901161193847656e-07","0.9999957509004481","0.0029204373636249332","0.002080428825196105","False","3","True","2"
"1.4901161193847656e-07","0.999969541505118","0.008171321176709004","0.005069739908485036","False","4","True","0"
"1.4901161193847656e-07","0.9999870478776879","0.0051204428454293665","0.003479519425750101","False","4","True","1"
"1.4901161193847656e-07","0.9999856529969386","0.005495069811255772","0.003914516974132794","False","4","True","2"
