epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.7544836018880209,0.9447722177631132,0.003,"[0, 1]"
5,0.7241121012369792,0.931600447902023,0.003,"[0, 1]"
10,0.688119852701823,0.9184971883250038,0.003,"[0, 1]"
15,0.6552668863932292,0.9056552466481106,0.003,"[0, 1]"
20,0.626402099609375,0.8943858369801173,0.003,"[0, 1]"
25,0.6019834391276042,0.8843200278299106,0.003,"[0, 1]"
30,0.5818399251302083,0.8751096471478589,0.003,"[0, 1]"
35,0.5652560628255209,0.8660183560229829,0.003,"[0, 1]"
40,0.5512068277994792,0.856559236472258,0.003,"[0, 1]"
45,0.5387655639648438,0.8465200478466236,0.003,"[0, 1]"
50,0.5274179280598958,0.8360092331955917,0.003,"[0, 1]"
55,0.5170717976888021,0.8256691178598725,0.003,"[0, 1]"
60,0.5078543701171875,0.8158594909568528,0.003,"[0, 1]"
65,0.4998686319986979,0.8069723326751203,0.003,"[0, 1]"
70,0.49304317220052085,0.7991416904443479,0.003,"[0, 1]"
75,0.48715948486328126,0.7923934951599962,0.003,"[0, 1]"
80,0.48196394856770836,0.7867836058172619,0.003,"[0, 1]"
85,0.4772426554361979,0.782261181545105,0.003,"[0, 1]"
90,0.4728537190755208,0.7786277868588752,0.003,"[0, 1]"
95,0.46872066243489585,0.7756168002940869,0.003,"[0, 1]"
100,0.4648038330078125,0.7729927698663326,0.003,"[0, 1]"
105,0.4610801188151042,0.7706076703748964,0.003,"[0, 1]"
110,0.4575322265625,0.768381676246008,0.003,"[0, 1]"
115,0.45414423624674477,0.7662567944871068,0.003,"[0, 1]"
120,0.4509013671875,0.7641777616282664,0.003,"[0, 1]"
125,0.44779056803385414,0.7621084740192009,0.003,"[0, 1]"
130,0.4448002624511719,0.7600451164908321,0.003,"[0, 1]"
135,0.44192057291666664,0.7580051301566171,0.003,"[0, 1]"
140,0.43914314778645835,0.7560044474798908,0.003,"[0, 1]"
145,0.4364610799153646,0.7540478736796367,0.003,"[0, 1]"
150,0.4338686116536458,0.7521336431046306,0.003,"[0, 1]"
155,0.43136068725585935,0.7502611849903505,0.003,"[0, 1]"
160,0.42893295288085936,0.7484316283694523,0.003,"[0, 1]"
165,0.4265813598632813,0.7466442667916312,0.003,"[0, 1]"
170,0.42430223592122396,0.7448963313331552,0.003,"[0, 1]"
175,0.42209232584635414,0.7431852257581257,0.003,"[0, 1]"
180,0.41994863891601564,0.7415094353248523,0.003,"[0, 1]"
185,0.4178683471679687,0.7398675913529223,0.003,"[0, 1]"
190,0.4158488972981771,0.7382571093936803,0.003,"[0, 1]"
195,0.413887939453125,0.7366754195900153,0.003,"[0, 1]"
200,0.4119832560221354,0.7351209642169443,0.003,"[0, 1]"
205,0.41013273111979165,0.7335919611932397,0.003,"[0, 1]"
210,0.4083344319661458,0.7320876112241024,0.003,"[0, 1]"
215,0.4065865173339844,0.7306071058811723,0.003,"[0, 1]"
220,0.4048873087565104,0.7291500881671885,0.003,"[0, 1]"
