task,Lx,Ly,horizon,fold,selected_AR_penalty,selected_XAR_penalty,FAST_PENALTY_SELECTED_AT_EDGE,AR_RMSE_mm,coarse_XAR_RMSE_mm,linear_ARX_RMSE_mm,AR_MSE_mm2,coarse_XAR_MSE_mm2,delta_X_given_AR_coarse,direction_positive,AR_relative_kkt,XAR_relative_kkt,exact_zero_XAR_nestedness_margin
short,64,16,1,1,0.0,0.01,False,0.00785756490096084,0.3169651135578863,0.012210384558794469,6.174132617281173e-05,0.10046688321276377,-1626.222630941885,False,1.6409784646434425e-15,7.190502754714206e-15,0.0002600997231409479
short,64,16,1,2,0.0,0.01,False,0.007915534043532556,0.05198036450606643,0.010488988599495526,6.265567919432287e-05,0.002701958294183531,-42.12391676105797,False,1.621929877420206e-15,3.279815374010523e-14,0.00017569853211237127
medium,256,32,15,1,0.0001,1.0,True,0.04185239075214861,1.3229738167000031,0.19894265326013819,0.0017516226116705347,1.7502597196737737,-998.2219260086731,False,2.2951766006705713e-16,1.8822199382737244e-14,0.011229434182968422
medium,256,32,15,2,0.0001,1.0,True,0.03595754798860365,0.901266970999966,0.061532963924794015,0.0012929452573527346,0.8122821530154535,-627.2417205184511,False,2.323494792562785e-16,1.6571515382258276e-14,0.007925522457556605
long,512,64,60,1,0.0001,1.0,True,0.0828813942223661,2.555536453568201,0.4882919174532886,0.006869325508243259,6.530766565515937,-949.7143834833496,False,3.915964871610039e-16,7.0030510473755575e-15,0.023050416508942906
long,512,64,60,2,0.0001,1.0,True,0.06445281667707256,1.4859203863501593,0.238249360409168,0.004154165577608324,2.2079593945710068,-530.5049083436377,False,4.459457253225666e-16,9.72985420051777e-15,0.01770068898997334
