epoch,train_mse,lag_logit_roughness,smoothness_penalty,validation_rmse,learning_rate,external_support
1,0.03303403155008952,0.0025654351338744164,2.565434988355264e-05,0.19317533855485086,0.003,[0]
5,0.0357817866007487,0.0016120282234624028,1.6120282452902757e-05,0.18569930005658047,0.003,[0]
10,0.034327494303385414,0.0011615820694714785,1.161582076747436e-05,0.1838552202261185,0.003,[0]
15,0.03345209121704101,0.001019638148136437,1.019638148136437e-05,0.1821804813452943,0.003,[0]
20,0.03305836550394694,0.0009716777130961418,9.71677673078375e-06,0.1810847403759397,0.003,[0]
25,0.033005292256673174,0.0010062387445941567,1.0062387445941567e-05,0.18039526033455502,0.003,[0]
30,0.03304167683919271,0.0011300971964374185,1.1300971891614608e-05,0.18028974101859688,0.003,[0]
35,0.03305422274271647,0.0012607324169948697,1.2607323697011452e-05,0.18030644504158788,0.003,[0]
40,0.033040027618408206,0.0014218405121937394,1.421840443072142e-05,0.180289656383761,0.003,[0]
45,0.033018625259399415,0.0015747824218124151,1.5747824363643304e-05,0.18030847607755482,0.003,[0]
50,0.03300027720133464,0.0016949778655543923,1.6949778000707738e-05,0.1802640207792448,0.003,[0]
55,0.03298652076721192,0.0018118551233783364,1.8118551452062093e-05,0.1802660205509713,0.003,[0]
60,0.03297639592488607,0.0019181888783350587,1.9181889001629315e-05,0.1802350692173453,0.003,[0]
65,0.03296863047281901,0.0020210458897054195,2.0210458387737162e-05,0.1802345824188772,0.003,[0]
70,0.032962464650472006,0.0021147998049855232,2.114799826813396e-05,0.18021938517937963,0.003,[0]
75,0.03295741017659505,0.0022064310032874346,2.2064308723201975e-05,0.18021659111845242,0.003,[0]
80,0.03295322291056315,0.002295092912390828,2.295092781423591e-05,0.18021279154942665,0.003,[0]
85,0.03294965362548828,0.0023844537790864706,2.3844537281547673e-05,0.1802065469583455,0.003,[0]
90,0.032946435292561846,0.0024768165312707424,2.4768165530986153e-05,0.18020736194267936,0.003,[0]
95,0.03294333330790202,0.002571325981989503,2.5713259674375877e-05,0.18019974116604215,0.003,[0]
100,0.032940195083618166,0.0026689067017287016,2.668906563485507e-05,0.180199402457378,0.003,[0]
105,0.03293703778584798,0.0027690925635397434,2.769092498056125e-05,0.18019425824127971,0.003,[0]
110,0.03293394597371419,0.0028719089459627867,2.8719088732032105e-05,0.18019127325843529,0.003,[0]
115,0.032930968602498376,0.0029764047358185053,2.97640472126659e-05,0.18018888100244715,0.003,[0]
120,0.03292806879679362,0.0030823885463178158,3.08238850266207e-05,0.18018442454708797,0.003,[0]
125,0.03292521731058756,0.0031888149678707123,3.188815026078373e-05,0.18018176755807333,0.003,[0]
130,0.03292241350809733,0.0032954849302768707,3.295484930276871e-05,0.18017804135608217,0.003,[0]
135,0.03291967264811198,0.003402039874345064,3.402039874345064e-05,0.18017412452659728,0.003,[0]
140,0.03291698964436849,0.0035081945825368166,3.5081946407444775e-05,0.18017076868874313,0.003,[0]
145,0.03291435750325521,0.003613776061683893,3.613776061683893e-05,0.18016671407571333,0.003,[0]
150,0.03291176732381185,0.0037185524124652147,3.7185523979132995e-05,0.18016268054506085,0.003,[0]
