direction,model,MSE,RMSE,MAE,R2,rows
sheet1_to_sheet2,R1-LIN-DERIVED,141.94785754799193,11.914187238246338,8.000075659240512,-1441.3153126250422,3233
sheet1_to_sheet2,LIN-UOI,220.69637757186646,14.855853310122123,12.92939939497328,-2241.469666758869,3233
sheet1_to_sheet2,FULL-UOI,856.1468017773831,29.259986359829067,18.036188251311884,-8698.205915390336,3233
sheet2_to_sheet1,R1-LIN-DERIVED,13.979689138168416,3.7389422485735744,2.49934982333077,-31.3813055062504,3130
sheet2_to_sheet1,LIN-UOI,221.27289278020848,14.875244293127038,11.818321820277388,-511.53680039315043,3130
sheet2_to_sheet1,FULL-UOI,60562.689512212826,246.0948790857153,127.98930979573602,-140281.0142846244,3130
