direction,region,rows,maximum_value_continuity_residual,maximum_derivative_continuity_residual,pass,MSE,RMSE,MAE,R2
sheet1_to_sheet2,all_registered,3233,0.0,1.4210854715202004e-14,True,856.1468017773831,29.259986359829067,18.036188251311884,-8698.205915390336
sheet1_to_sheet2,fit_support,2448,0.0,1.4210854715202004e-14,True,1001.4676888528437,31.645974291414124,19.201190762865146,-10021.115645090393
sheet1_to_sheet2,extension_band,785,0.0,1.4210854715202004e-14,True,402.96778068091487,20.074057404543677,14.403161310824748,-5082.215521851714
sheet1_to_sheet2,saturated,0,0.0,1.4210854715202004e-14,True,,,,
sheet2_to_sheet1,all_registered,3130,0.0,1.7763568394002505e-15,True,60562.689512212826,246.0948790857153,127.98930979573602,-140281.0142846244
sheet2_to_sheet1,fit_support,469,0.0,1.7763568394002505e-15,True,4115.1846748334565,64.14970518118892,50.87685205564234,-9304.696080594134
sheet2_to_sheet1,extension_band,2252,0.0,1.7763568394002505e-15,True,8479.423817577705,92.08378694198944,68.14520526944281,-18614.526349747717
sheet2_to_sheet1,saturated,409,0.0,1.7763568394002505e-15,True,412067.32059546263,641.9247000976537,545.9224786791495,-4757156.465040932
