epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.04218146514892578,0.30154754759724717,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.05788035202026367,0.33256231656183277,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.05516113917032878,0.3053519147968737,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.04718804677327474,0.2985176593917854,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.04352112579345703,0.2978228213592157,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.04214521662394206,0.29845536902492587,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.041951889038085936,0.29923037673233477,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.042292259216308595,0.2991189352935917,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.042566566467285155,0.29862860986660233,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.04241342671712239,0.29785795331258574,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.04223865000406901,0.29789140358539745,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.04235479990641276,0.29832376759571133,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.04256591542561849,0.2982409084370084,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.042704874674479164,0.2984453481870545,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.04291612370808919,0.29884967242576055,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.043178802490234376,0.2990177349839988,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.04345323181152344,0.2993582664702974,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.04378228123982748,0.29981654597882984,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.04413131332397461,0.30022028147216595,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.04452248128255208,0.3006439799386308,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.04494720077514648,0.3011705830468398,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.04540773646036784,0.301764221715916,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.04590183639526367,0.30237788990874326,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.0464331169128418,0.3030419052908437,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.04700079345703125,0.3037875581605739,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,0.047605570475260414,0.30461119336947645,0.4166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,0.04824717966715495,0.30549758345776673,0.43333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,0.048926260630289715,0.3064430344681103,0.45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,0.04964344278971354,0.3074533541896094,0.4666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,0.05039908981323242,0.30853151567869397,0.48333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,0.05119377263387044,0.30967502418740317,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,0.052028430938720706,0.3108788271040689,0.5166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,0.05290417734781901,0.3121378027964096,0.5333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,0.05382231648763021,0.31344701476787834,0.55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,0.054784366607666016,0.3148005165725987,0.5666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,0.055792152404785154,0.3161954713635852,0.5833333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
180,0.05684746424357096,0.3176342153342057,0.6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
185,0.057952232360839843,0.3191214756724335,0.6166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
190,0.05910888163248698,0.3206628467017699,0.6333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
195,0.06031983311971029,0.3222620738440707,0.65,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
200,0.06158785756429037,0.3239236467605662,0.6666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
205,0.06291609573364258,0.3256577862947761,0.6833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
210,0.06430814107259114,0.32748470358033754,0.7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
215,0.06576821645100911,0.32942680284490694,0.7166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
220,0.06730140177408854,0.3315051208376751,0.7333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
225,0.06891392262776692,0.333739322105785,0.75,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
230,0.07061451466878255,0.3361499373724586,0.7666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
235,0.07241436258951824,0.338754067484517,0.7833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
240,0.07432555135091146,0.34155790753431364,0.8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
245,0.0763609873453776,0.34456380054568175,0.8166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
250,0.07853541056315104,0.3477777065755049,0.8333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
255,0.08086583964029948,0.3512095015993615,0.85,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
260,0.0833702392578125,0.35486452768318855,0.8666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
265,0.08606568654378255,0.3587421823108354,0.8833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
270,0.08896726989746094,0.3628547773938481,0.9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
275,0.09208294169108074,0.36723331246788166,0.9166666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
280,0.09540585327148438,0.37190228530415503,0.9333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
285,0.0988943634033203,0.3769338158914639,0.95,"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
