epoch,train_mse,validation_rmse,learning_rate,external_support
1,1.0028046875,0.897268873116672,0.003,[]
5,1.002809834798177,0.8974815566524195,0.003,[]
10,1.002807169596354,0.8973277113097394,0.003,[]
15,1.0028055013020833,0.8974444579893406,0.003,[]
20,1.0028047688802084,0.8973647127753437,0.003,[]
25,1.0028047281901042,0.8974043312194377,0.003,[]
30,1.0028048502604168,0.8973947753427697,0.003,[]
35,1.0028048299153647,0.89738651163784,0.003,[]
40,1.0028048502604168,0.8974023248338436,0.003,[]
45,1.0028048502604168,0.8973852533715662,0.003,[]
50,1.0028048502604168,0.8974006245035575,0.003,[]
55,1.0028047281901042,0.897387973945077,0.003,[]
60,1.0028047281901042,0.8973977339346773,0.003,[]
65,1.0028047688802084,0.8973906605033249,0.003,[]
70,1.0028047688802084,0.8973953534591965,0.003,[]
75,1.0028047281901042,0.8973927349288744,0.003,[]
80,1.0028046875,0.8973935851018945,0.003,[]
85,1.0028047688802084,0.89739409520532,0.003,[]
90,1.0028046875,0.8973927349288744,0.003,[]
95,1.002804667154948,0.8973944352741092,0.003,[]
100,1.0028047281901042,0.8973928709566117,0.003,[]
105,1.0028046875,0.8973939591777683,0.003,[]
110,1.0028047078450522,0.8973934830811746,0.003,[]
115,1.0028047688802084,0.8973934150673549,0.003,[]
120,1.0028047281901042,0.8973938231501959,0.003,[]
125,1.0028047281901042,0.8973933810604432,0.003,[]
130,1.0028047281901042,0.8973935851018945,0.003,[]
135,1.0028047281901042,0.8973936191087986,0.003,[]
140,1.0028047078450522,0.8973934830811746,0.003,[]
145,1.0028047688802084,0.8973935851018945,0.003,[]
150,1.0028047078450522,0.8973935510949892,0.003,[]
155,1.0028047281901042,0.8973935510949892,0.003,[]
160,1.0028047688802084,0.8973935851018945,0.003,[]
165,1.0028047281901042,0.8973935510949892,0.003,[]
170,1.0028047281901042,0.8973935510949892,0.003,[]
175,1.0028047281901042,0.8973935510949892,0.003,[]
180,1.0028047281901042,0.8973935510949892,0.003,[]
185,1.0028047485351563,0.8973935510949892,0.003,[]
190,1.0028047281901042,0.8973935510949892,0.003,[]
195,1.0028047281901042,0.8973935510949892,0.003,[]
200,1.0028047281901042,0.8973935510949892,0.003,[]
205,1.0028047281901042,0.8973935510949892,0.003,[]
210,1.0028047485351563,0.8973935510949892,0.003,[]
215,1.0028047281901042,0.8973935510949892,0.003,[]
220,1.0028047281901042,0.8973935510949892,0.003,[]
225,1.0028047281901042,0.8973935510949892,0.003,[]
230,1.0028047281901042,0.8973935510949892,0.003,[]
235,1.0028047281901042,0.8973935510949892,0.003,[]
240,1.0028047281901042,0.8973935510949892,0.003,[]
245,1.0028047281901042,0.8973935510949892,0.003,[]
250,1.0028047281901042,0.8973935510949892,0.003,[]
255,1.0028047281901042,0.8973935510949892,0.003,[]
260,1.0028047281901042,0.8973935510949892,0.003,[]
265,1.0028047281901042,0.8973935510949892,0.003,[]
270,1.0028047281901042,0.8973935510949892,0.003,[]
275,1.0028047281901042,0.8973935510949892,0.003,[]
280,1.0028047281901042,0.8973935510949892,0.003,[]
285,1.0028047281901042,0.8973935510949892,0.003,[]
290,1.0028047281901042,0.8973935510949892,0.003,[]
295,1.0028047281901042,0.8973935510949892,0.003,[]
300,1.0028047281901042,0.8973935510949892,0.003,[]
305,1.0028047281901042,0.8973935510949892,0.003,[]
310,1.0028047281901042,0.8973935510949892,0.003,[]
315,1.0028047281901042,0.8973935510949892,0.003,[]
320,1.0028047281901042,0.8973935510949892,0.003,[]
325,1.0028047281901042,0.8973935510949892,0.003,[]
330,1.0028047281901042,0.8973935510949892,0.003,[]
335,1.0028047281901042,0.8973935510949892,0.003,[]
340,1.0028047281901042,0.8973935510949892,0.003,[]
345,1.0028047281901042,0.8973935510949892,0.003,[]
350,1.0028047281901042,0.8973935510949892,0.003,[]
355,1.0028047281901042,0.8973935510949892,0.003,[]
360,1.0028047281901042,0.8973935510949892,0.003,[]
365,1.0028047281901042,0.8973935510949892,0.003,[]
370,1.0028047281901042,0.8973935510949892,0.003,[]
375,1.0028047281901042,0.8973935510949892,0.003,[]
380,1.0028047281901042,0.8973935510949892,0.003,[]
385,1.0028047281901042,0.8973935510949892,0.003,[]
390,1.0028047281901042,0.8973935510949892,0.003,[]
395,1.0028047281901042,0.8973935510949892,0.003,[]
400,1.0028047281901042,0.8973935510949892,0.003,[]
405,1.0028047281901042,0.8973935510949892,0.0015,[]
410,1.0028047281901042,0.8973935510949892,0.0015,[]
415,1.0028047281901042,0.8973935510949892,0.0015,[]
420,1.0028047281901042,0.8973935510949892,0.0015,[]
425,1.0028047281901042,0.8973935510949892,0.0015,[]
430,1.0028047281901042,0.8973935510949892,0.0015,[]
435,1.0028047281901042,0.8973935510949892,0.0015,[]
440,1.0028047281901042,0.8973935510949892,0.0015,[]
445,1.0028047281901042,0.8973935510949892,0.0015,[]
450,1.0028047281901042,0.8973935510949892,0.0015,[]
455,1.0028047281901042,0.8973935510949892,0.0015,[]
460,1.0028047281901042,0.8973935510949892,0.0015,[]
465,1.0028047281901042,0.8973935510949892,0.0015,[]
470,1.0028047281901042,0.8973935510949892,0.0015,[]
475,1.0028047281901042,0.8973935510949892,0.0015,[]
480,1.0028047281901042,0.8973935510949892,0.0015,[]
485,1.0028047281901042,0.8973935510949892,0.0015,[]
490,1.0028047281901042,0.8973935510949892,0.0015,[]
495,1.0028047281901042,0.8973935510949892,0.0015,[]
500,1.0028047281901042,0.8973935510949892,0.0015,[]
