epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.036364432017008466,0.2042209205424533,0.003,"[0, 1, 2, 3]"
5,0.038026716868082684,0.18992684009861205,0.003,"[0, 1, 2, 3]"
10,0.03619174448649089,0.19270200756791073,0.003,"[0, 1, 2, 3]"
15,0.03642880376180013,0.1921976722568389,0.003,"[0, 1, 2, 3]"
20,0.036438084920247395,0.19098164199562664,0.003,"[0, 1, 2, 3]"
25,0.036259670257568356,0.18981971619988036,0.003,"[0, 1, 2, 3]"
30,0.035956230163574215,0.18884963481646583,0.003,"[0, 1, 2, 3]"
35,0.03560406239827474,0.18817958508801236,0.003,"[0, 1, 2, 3]"
40,0.03533754475911458,0.1878374547136714,0.003,"[0, 1, 2, 3]"
45,0.035182408650716146,0.18742223525718293,0.003,"[0, 1, 2, 3]"
50,0.035030989329020185,0.18690169434001386,0.003,"[0, 1, 2, 3]"
55,0.03487347157796224,0.18656382497959145,0.003,"[0, 1, 2, 3]"
60,0.03479220072428386,0.18632096954617575,0.003,"[0, 1, 2, 3]"
65,0.03472475306193034,0.18611340320497893,0.003,"[0, 1, 2, 3]"
70,0.03466155115763346,0.18597235344953453,0.003,"[0, 1, 2, 3]"
75,0.034603759765625,0.18580025873238049,0.003,"[0, 1, 2, 3]"
80,0.03454574330647787,0.18567809915643702,0.003,"[0, 1, 2, 3]"
85,0.03449333826700846,0.18555471817304808,0.003,"[0, 1, 2, 3]"
90,0.03444382476806641,0.18543571917196594,0.003,"[0, 1, 2, 3]"
95,0.03439460372924805,0.1853174156836428,0.003,"[0, 1, 2, 3]"
100,0.03434608713785807,0.18520426839766638,0.003,"[0, 1, 2, 3]"
105,0.03429727935791015,0.18509367968023208,0.003,"[0, 1, 2, 3]"
110,0.034248908996582034,0.18498321044617172,0.003,"[0, 1, 2, 3]"
115,0.034201164245605466,0.18487715276634437,0.003,"[0, 1, 2, 3]"
120,0.03415395228068034,0.1847732948824288,0.003,"[0, 1, 2, 3]"
125,0.034107401529947914,0.1846709485068296,0.003,"[0, 1, 2, 3]"
130,0.03406171162923177,0.1845699818118731,0.003,"[0, 1, 2, 3]"
135,0.03401705042521159,0.1844716274703314,0.003,"[0, 1, 2, 3]"
140,0.03397354507446289,0.18437617931958641,0.003,"[0, 1, 2, 3]"
145,0.033931297302246095,0.18428340382358008,0.003,"[0, 1, 2, 3]"
150,0.03389043426513672,0.18419281832832263,0.003,"[0, 1, 2, 3]"
155,0.03385102462768555,0.18410378373633488,0.003,"[0, 1, 2, 3]"
160,0.03381310526529948,0.18401617791746344,0.003,"[0, 1, 2, 3]"
165,0.0337766596476237,0.18392946367404509,0.003,"[0, 1, 2, 3]"
170,0.03374164835611979,0.1838440572608664,0.003,"[0, 1, 2, 3]"
175,0.03370797602335612,0.18376034454499404,0.003,"[0, 1, 2, 3]"
180,0.03367549641927083,0.18367829668963256,0.003,"[0, 1, 2, 3]"
185,0.03364408111572265,0.18359800942532412,0.003,"[0, 1, 2, 3]"
190,0.03361355845133464,0.18351932916520292,0.003,"[0, 1, 2, 3]"
195,0.03358376820882161,0.18344175889434228,0.003,"[0, 1, 2, 3]"
200,0.03355455271402995,0.18336497756206852,0.003,"[0, 1, 2, 3]"
205,0.033525779724121095,0.18328871559749896,0.003,"[0, 1, 2, 3]"
210,0.03349732716878255,0.18321272379571385,0.003,"[0, 1, 2, 3]"
215,0.03346910095214844,0.18313677336567077,0.003,"[0, 1, 2, 3]"
220,0.03344103749593099,0.18306058304011893,0.003,"[0, 1, 2, 3]"
225,0.03341307322184245,0.18298405870721854,0.003,"[0, 1, 2, 3]"
230,0.033385167439778644,0.18290716866386844,0.003,"[0, 1, 2, 3]"
235,0.03335729344685873,0.18282970380121774,0.003,"[0, 1, 2, 3]"
240,0.033329427083333335,0.1827514546515187,0.003,"[0, 1, 2, 3]"
245,0.03330155944824219,0.18267234711736527,0.003,"[0, 1, 2, 3]"
250,0.033273672739664716,0.18259252632615064,0.003,"[0, 1, 2, 3]"
255,0.033245765686035156,0.18251184503445483,0.003,"[0, 1, 2, 3]"
260,0.033217833201090494,0.1824302393692672,0.003,"[0, 1, 2, 3]"
265,0.033189865112304685,0.18234783360894366,0.003,"[0, 1, 2, 3]"
270,0.03316186141967774,0.18226443830317177,0.003,"[0, 1, 2, 3]"
275,0.03313382339477539,0.18218024054536217,0.003,"[0, 1, 2, 3]"
280,0.03310574213663737,0.1820953649158268,0.003,"[0, 1, 2, 3]"
285,0.03307762145996094,0.18200988382183503,0.003,"[0, 1, 2, 3]"
290,0.03304945755004883,0.18192364962927057,0.003,"[0, 1, 2, 3]"
295,0.0330212516784668,0.18183667175603632,0.003,"[0, 1, 2, 3]"
300,0.032993011474609375,0.18174930594415384,0.003,"[0, 1, 2, 3]"
305,0.03296473439534505,0.18166135214401816,0.003,"[0, 1, 2, 3]"
310,0.0329364267985026,0.18157278849197628,0.003,"[0, 1, 2, 3]"
315,0.03290809377034505,0.18148399244605612,0.003,"[0, 1, 2, 3]"
320,0.03287790044148763,0.18134823997785698,0.003,"[0, 1, 2, 3]"
325,0.03285304133097331,0.18125911295113423,0.003,"[0, 1, 2, 3]"
330,0.03282739003499349,0.18119137572255054,0.003,"[0, 1, 2, 3]"
335,0.03280073229471842,0.18108047449857453,0.003,"[0, 1, 2, 3]"
340,0.03277494430541992,0.18099741205715267,0.003,"[0, 1, 2, 3]"
