epoch,train_mse,lag_logit_roughness,smoothness_penalty,validation_rmse,learning_rate,external_support
1,0.03204587427775065,3148.423095703125,0.3148423135280609,0.2150393995512799,0.003,"[0, 1, 3]"
5,0.04009852091471354,3142.84716796875,0.31428471207618713,0.194130485776481,0.003,"[0, 1, 3]"
10,0.03582474644978841,3135.9052734375,0.31359052658081055,0.18824976234370375,0.003,"[0, 1, 3]"
15,0.0332420285542806,3128.9912109375,0.312899112701416,0.1833175594595378,0.003,"[0, 1, 3]"
20,0.03209372647603353,3122.100830078125,0.3122100830078125,0.1796357347311019,0.003,"[0, 1, 3]"
25,0.031947842280069985,3115.24169921875,0.3115241527557373,0.1775788510832604,0.003,"[0, 1, 3]"
30,0.03205507151285807,3108.41357421875,0.3108413517475128,0.17717797955160308,0.003,"[0, 1, 3]"
35,0.03208348846435547,3101.615478515625,0.3101615309715271,0.17719822765350934,0.003,"[0, 1, 3]"
40,0.032030686060587565,3094.849853515625,0.30948498845100403,0.17713635118464743,0.003,"[0, 1, 3]"
45,0.031957762400309245,3088.1123046875,0.308811217546463,0.17708590816047037,0.003,"[0, 1, 3]"
50,0.031894511540730794,3081.40185546875,0.30814018845558167,0.17693177083831615,0.003,"[0, 1, 3]"
55,0.03184564463297526,3074.716064453125,0.3074716031551361,0.1768454062570849,0.003,"[0, 1, 3]"
60,0.031807557423909505,3068.0556640625,0.3068055510520935,0.17672627912785072,0.003,"[0, 1, 3]"
65,0.031776288986206054,3061.42333984375,0.30614233016967773,0.17664799333647888,0.003,"[0, 1, 3]"
70,0.03174927012125651,3054.81396484375,0.3054813742637634,0.17656201927997334,0.003,"[0, 1, 3]"
75,0.03172520446777344,3048.226806640625,0.3048226833343506,0.17649275490909078,0.003,"[0, 1, 3]"
80,0.03170340092976888,3041.6611328125,0.30416610836982727,0.1764255174600873,0.003,"[0, 1, 3]"
85,0.03168331782023112,3035.116455078125,0.3035116493701935,0.1763589465474994,0.003,"[0, 1, 3]"
90,0.031664333979288736,3028.595703125,0.3028595745563507,0.17629659699581465,0.003,"[0, 1, 3]"
95,0.031645777384440105,3022.094970703125,0.3022094964981079,0.1762275259420565,0.003,"[0, 1, 3]"
100,0.03162716801961263,3015.61474609375,0.30156147480010986,0.1761624772299398,0.003,"[0, 1, 3]"
105,0.03160842005411784,3009.153076171875,0.30091530084609985,0.17609420383669058,0.003,"[0, 1, 3]"
110,0.03158971150716146,3002.7109375,0.30027109384536743,0.17602772433655847,0.003,"[0, 1, 3]"
115,0.03157119750976563,2996.291748046875,0.29962918162345886,0.17596163704393536,0.003,"[0, 1, 3]"
120,0.0315528195699056,2989.89013671875,0.2989889979362488,0.17589429958490652,0.003,"[0, 1, 3]"
125,0.031534449895222985,2983.506591796875,0.29835066199302673,0.17582772823035744,0.003,"[0, 1, 3]"
130,0.031516056696573896,2977.140380859375,0.2977140247821808,0.17576037202402434,0.003,"[0, 1, 3]"
135,0.031497681935628255,2970.79345703125,0.29707932472229004,0.17569296828275144,0.003,"[0, 1, 3]"
140,0.03147930717468262,2964.465576171875,0.2964465618133545,0.17562553867243902,0.003,"[0, 1, 3]"
145,0.03146090571085612,2958.155029296875,0.29581549763679504,0.17555764315097644,0.003,"[0, 1, 3]"
150,0.03144247055053711,2951.86083984375,0.2951860725879669,0.17548956376479044,0.003,"[0, 1, 3]"
155,0.031424007415771484,2945.583251953125,0.2945583164691925,0.1754212241890818,0.003,"[0, 1, 3]"
