scenario,seed,variable,lag_basis,amplitude_basis,is_fallback,projection_surface_nrmse
AR-S1,0,0,5,8,False,0.5708868811736102
AR-S1,0,0,5,12,False,0.5708845524619433
AR-S1,0,0,8,8,False,0.15445043242795825
AR-S1,0,0,8,12,False,0.1544379674661887
AR-S1,0,1,5,8,False,0.468890460852773
AR-S1,0,1,5,12,False,0.4688888370039081
AR-S1,0,1,8,8,False,0.2354359768477115
AR-S1,0,1,8,12,False,0.23543206116381157
AR-S1,0,2,5,8,False,0.259687127058166
AR-S1,0,2,5,12,False,0.2596218946275602
AR-S1,0,2,8,8,False,0.11007216746349711
AR-S1,0,2,8,12,False,0.10990903820528586
AR-S1,1,0,5,8,False,0.5708864746362106
AR-S1,1,0,5,12,False,0.5708845472326803
AR-S1,1,0,8,8,False,0.1544482564123714
AR-S1,1,0,8,12,False,0.15443793947428844
AR-S1,1,1,5,8,False,0.46892246231508466
AR-S1,1,1,5,12,False,0.46892097829641277
AR-S1,1,1,8,8,False,0.23551313337039814
AR-S1,1,1,8,12,False,0.23550955579765478
AR-S1,1,2,5,8,False,0.2597008663941769
AR-S1,1,2,5,12,False,0.25962220808523195
AR-S1,1,2,8,8,False,0.1101065003582359
AR-S1,1,2,8,12,False,0.10990982256184809
AR-S1,2,0,5,8,False,0.5708858748908442
AR-S1,2,0,5,12,False,0.5708845644370082
AR-S1,2,0,8,8,False,0.15444504618651536
AR-S1,2,0,8,12,False,0.1544380315679071
AR-S1,2,1,5,8,False,0.46881436945013577
AR-S1,2,1,5,12,False,0.4688131157280088
AR-S1,2,1,8,8,False,0.23525243765193538
AR-S1,2,1,8,12,False,0.23524941261365415
AR-S1,2,2,5,8,False,0.2597021682532898
AR-S1,2,2,5,12,False,0.25962207253053754
AR-S1,2,2,8,8,False,0.11010975308146698
AR-S1,2,2,8,12,False,0.1099094833676129
AR-S1,3,0,5,8,False,0.5708859057097827
AR-S1,3,0,5,12,False,0.5708845688113067
AR-S1,3,0,8,8,False,0.15444521115098966
AR-S1,3,0,8,12,False,0.1544380549832259
AR-S1,3,1,5,8,False,0.4688307874864305
AR-S1,3,1,5,12,False,0.4688297712777123
AR-S1,3,1,8,8,False,0.23529204900041295
AR-S1,3,1,8,12,False,0.23528959737468474
AR-S1,3,2,5,8,False,0.2596972852220561
AR-S1,3,2,5,12,False,0.25962536663627195
AR-S1,3,2,8,8,False,0.1100975523103808
AR-S1,3,2,8,12,False,0.10991772585825905
AR-S1,4,0,5,8,False,0.5708859652716819
AR-S1,4,0,5,12,False,0.57088454795722
AR-S1,4,0,8,8,False,0.15444552996738353
AR-S1,4,0,8,12,False,0.15443794335270228
AR-S1,4,1,5,8,False,0.46879386041013255
AR-S1,4,1,5,12,False,0.46879287298486116
AR-S1,4,1,8,8,False,0.23520294862804927
AR-S1,4,1,8,12,False,0.23520056572856032
