task,Lx,Ly,horizon,fold,purge_gap,AR_ridge_alpha,ARX_ridge_alpha,persistence_RMSE_mm,AR_RMSE_mm,ARX_RMSE_mm,AR_MSE_mm2,ARX_MSE_mm2,delta_X_given_AR,direction_positive
short,64,16,1,1,64,0.0,0.0001,0.007710835255515592,0.007616546982794107,0.012210384558794469,5.8011787941110014e-05,0.0001490934910736464,-1.570055093371659,False
short,64,16,1,2,64,0.0,0.0001,0.007794736154172692,0.007612442360530621,0.010488988599495526,5.7949278692401e-05,0.00011001888184034711,-0.8985375542694045,False
medium,256,32,15,1,270,0.0,0.0,0.039292628809235584,0.0394555894577804,0.19894265326013819,0.001556743539460912,0.03957817928618357,-24.423699076271216,False
medium,256,32,15,2,270,0.0,0.0,0.03489823796238441,0.03439082358330801,0.061532963924794015,0.001182728746738214,0.0037863056493700016,-2.2013305331523028,False
long,512,64,60,1,571,0.0,0.0001,0.0999026037757778,0.08930106923659505,0.4882919174532886,0.007974680966799142,0.23842899665020922,-28.898248925926534,False
long,512,64,60,2,571,0.0,0.0001,0.0776016366784031,0.06623743274032677,0.238249360409168,0.004387397496029313,0.05676275773537763,-11.937682940000107,False
