source,direction,condition,active_signature,stability_value
E3,Rod_1_to_Rod_2,seed=8,UNIFORM,-0.015937797009677235
E3,Rod_1_to_Rod_2,seed=9,UNIFORM,-0.003551845785785712
E3,Rod_2_to_Rod_1,seed=0,UNIFORM,-0.006532704891231922
E3,Rod_2_to_Rod_1,seed=1,UNIFORM,-0.01059326898181659
E3,Rod_2_to_Rod_1,seed=2,UNIFORM,-0.003011023952088604
E3,Rod_2_to_Rod_1,seed=3,UNIFORM,-0.0021552783176365664
E3,Rod_2_to_Rod_1,seed=4,UNIFORM,-7.948324012990726e-06
E3,Rod_2_to_Rod_1,seed=5,UNIFORM,-0.003011023952088604
E3,Rod_2_to_Rod_1,seed=6,UNIFORM,-0.01059326898181659
E3,Rod_2_to_Rod_1,seed=7,UNIFORM,-0.015419412028815083
E3,Rod_2_to_Rod_1,seed=8,UNIFORM,-0.015419412028815083
E3,Rod_2_to_Rod_1,seed=9,MULTISCALE,0.0009685735535024664
E4,Rod_1_to_Rod_2,candidate_universe:COARSE,COARSE:h=960|a=10000,0.7554096980382877
E4,Rod_1_to_Rod_2,candidate_universe:STANDARD,STANDARD:h=960|a=1000,0.7635805858799323
E4,Rod_1_to_Rod_2,candidate_universe:EXPANDED,EXPANDED:h=960|a=1000,0.7635805858799323
E4,Rod_1_to_Rod_2,family_ablation:REMOVE_NONE,REMOVE_NONE,0.9766187627224403
E4,Rod_1_to_Rod_2,family_ablation:REMOVE_C,REMOVE_C,0.9848732438255422
E4,Rod_1_to_Rod_2,family_ablation:REMOVE_W,REMOVE_W,0.8286003834711612
E4,Rod_1_to_Rod_2,family_ablation:REMOVE_A,REMOVE_A,0.7653136656473267
E4,Rod_2_to_Rod_1,candidate_universe:COARSE,COARSE:h=240|a=10000,0.1487940766680371
E4,Rod_2_to_Rod_1,candidate_universe:STANDARD,STANDARD:h=240|a=10000,0.1487940766680371
E4,Rod_2_to_Rod_1,candidate_universe:EXPANDED,EXPANDED:h=120|a=10000,0.16028632469524112
E4,Rod_2_to_Rod_1,family_ablation:REMOVE_NONE,REMOVE_NONE,0.14856490946944784
E4,Rod_2_to_Rod_1,family_ablation:REMOVE_C,REMOVE_C,0.15614312037662462
E4,Rod_2_to_Rod_1,family_ablation:REMOVE_W,REMOVE_W,0.13199122915419392
E4,Rod_2_to_Rod_1,family_ablation:REMOVE_A,REMOVE_A,0.1761557341339959
