epoch,train_mse,lag_logit_roughness,smoothness_penalty,validation_rmse,learning_rate,external_support
1,0.034896984100341796,3138.447021484375,0.0,0.2090863871933568,0.003,"[0, 1]"
5,0.040209028879801434,3138.3486328125,0.0,0.19579111279900888,0.003,"[0, 1]"
10,0.03734284210205078,3138.41259765625,0.0,0.19200620458432313,0.003,"[0, 1]"
15,0.03560105133056641,3138.383056640625,0.0,0.18887617529674453,0.003,"[0, 1]"
20,0.03483606465657552,3138.3779296875,0.0,0.1865515358417141,0.003,"[0, 1]"
25,0.03473948923746745,3138.3681640625,0.0,0.18526868537021737,0.003,"[0, 1]"
30,0.03479768625895182,3138.37646484375,0.0,0.18500494460637693,0.003,"[0, 1]"
35,0.03479485066731771,3138.433837890625,0.0,0.1849798078085146,0.003,"[0, 1]"
40,0.034737431844075524,3138.527587890625,0.0,0.1848840339728296,0.003,"[0, 1]"
45,0.03466903559366862,3138.68359375,0.0,0.1848134765599199,0.003,"[0, 1]"
50,0.03460935974121094,3138.88330078125,0.0,0.18465736620971232,0.003,"[0, 1]"
55,0.034560632069905596,3139.137451171875,0.0,0.1845627375264356,0.003,"[0, 1]"
60,0.03451983388264974,3139.430908203125,0.0,0.18443378093386403,0.003,"[0, 1]"
65,0.03448397064208984,3139.76708984375,0.0,0.1843454524787888,0.003,"[0, 1]"
70,0.03445116933186849,3140.1396484375,0.0,0.18424332394144485,0.003,"[0, 1]"
75,0.03442046356201172,3140.551025390625,0.0,0.1841593887939386,0.003,"[0, 1]"
80,0.03439134979248047,3140.996826171875,0.0,0.1840753324792427,0.003,"[0, 1]"
85,0.034363505045572916,3141.478515625,0.0,0.18399239880990798,0.003,"[0, 1]"
90,0.03433656056722005,3141.99365234375,0.0,0.183914965841947,0.003,"[0, 1]"
95,0.03431009801228841,3142.543212890625,0.0,0.18383129579182103,0.003,"[0, 1]"
100,0.03428377405802409,3143.126708984375,0.0,0.18375432431069713,0.003,"[0, 1]"
105,0.03425747044881185,3143.745361328125,0.0,0.18367283452934177,0.003,"[0, 1]"
110,0.03423126220703125,3144.400146484375,0.0,0.18359461228188464,0.003,"[0, 1]"
115,0.03420526377360026,3145.08984375,0.0,0.18351664770628184,0.003,"[0, 1]"
120,0.03417947006225586,3145.81640625,0.0,0.18343809891299162,0.003,"[0, 1]"
125,0.03415379587809245,3146.579833984375,0.0,0.18336108720107586,0.003,"[0, 1]"
130,0.0341282164255778,3147.380615234375,0.0,0.18328335629917153,0.003,"[0, 1]"
135,0.03410274314880371,3148.218017578125,0.0,0.18320599844494978,0.003,"[0, 1]"
140,0.03407737731933594,3149.094482421875,0.0,0.1831291703410059,0.003,"[0, 1]"
145,0.03405209922790527,3150.010498046875,0.0,0.18305180984598493,0.003,"[0, 1]"
150,0.03402689615885417,3150.967529296875,0.0,0.1829746355499545,0.003,"[0, 1]"
155,0.03400177001953125,3151.966064453125,0.0,0.1828974495469558,0.003,"[0, 1]"
