task_id,channel,variant,pooled_q_improvement,bootstrap_positive_probability,kernel_correlation,support_jaccard,common_support_drop,pooled_conditional_improvement,conditional_positive_probability,S2_stable_structure,C_AR_conditional_gain
L6__pc1,joint_lift,pc1,0.4805964086284763,1.0,0.8128696221440682,0.8823529411764706,0.006125191810675057,0.2107981090466351,0.996,True,True
L5__pc1,joint_lift,pc1,0.4214554993736075,1.0,0.8893991596543597,0.8125,0.005324074788814248,0.11085863096621007,0.882,True,False
R4__innovation,crystal_rotation,innovation,0.022307236926154328,0.93,0.8646906623789131,0.9782608695652174,0.0024184855453451837,0.054373546308728926,0.956,False,False
R5__innovation,crystal_rotation,innovation,0.021073024804274088,0.978,0.6830592020685687,0.6724137931034483,0.006307817021071971,-0.1761128085444008,0.01,False,False
P4__raw_plus_thermal_states,heater_power,raw_plus_thermal_states,0.03686257870144338,0.978,-0.011208068960607786,0.8333333333333334,0.0025841193231284088,-0.6448961780124018,0.0,False,False
