source,direction,conditions,unique_structures,stability_mean,stability_std
E1,Rod_1_to_Rod_2,2,2,1.0,0.0
E1,Rod_2_to_Rod_1,2,2,1.0,0.0
E2,Rod_1_to_Rod_2,40,10,0.8,0.17171831436157148
E2,Rod_2_to_Rod_1,40,8,0.475,0.3746793500910017
E3,Rod_1_to_Rod_2,10,2,3.3150012710348595e-05,0.00016216170753032583
E3,Rod_2_to_Rod_1,10,2,5.4692343637119734e-05,4.7430306779994635e-05
E4,Rod_1_to_Rod_2,7,7,0.016223461004391888,0.0002743134555341703
E4,Rod_2_to_Rod_1,7,7,0.015892148838214194,8.257749753512789e-05

