direction,rank,oof_mse,oof_se,fold_mse,gate_pass,diagnostics
sheet1_to_sheet2,0,0.4231231256764933,0.23379387675033222,"[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]",True,{}
sheet1_to_sheet2,1,0.39136604804102765,0.27416966801670994,"[0.09168755773762448, 0.07838206373481527, 0.18457729136557338, 1.2108172793260974]",False,"{""participation"": [{""fractions"": [0.00032547214323742153, 1.4098497161081106e-06, 0.9996731180070465], ""participation_ratio"": 1.0006539786084703, ""channels_at_least_10pct"": 1}], ""minimum_loo_correlation"": 0.9988203030873206, ""median_principal_angle_deg"": 8.341578950275094, ""incremental_oof_improvement"": 0.07505398714544881}"
sheet1_to_sheet2,2,0.17363193788661338,0.08672174325372062,"[0.02094448371189733, 0.02851684741072654, 0.35021807150110007, 0.2948483489227296]",False,"{""participation"": [{""fractions"": [0.00032547214323742153, 1.4098497161081106e-06, 0.9996731180070465], ""participation_ratio"": 1.0006539786084703, ""channels_at_least_10pct"": 1}, {""fractions"": [0.29459008375618284, 0.7052934745281116, 0.00011644171570542164], ""participation_ratio"": 1.7116774614861794, ""channels_at_least_10pct"": 2}], ""minimum_loo_correlation"": 0.9937305677570674, ""median_principal_angle_deg"": 0.12371981627297318, ""incremental_oof_improvement"": 0.5563438914649765}"
sheet2_to_sheet1,0,0.05649863017274685,0.025509247926126993,"[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]",True,{}
sheet2_to_sheet1,1,0.10089076834227528,0.03420796238546594,"[0.20313211365582715, 0.0672623667016021, 0.05936674225854292, 0.07380185075312892]",False,"{""participation"": [{""fractions"": [4.545801314065754e-05, 0.009335190566091915, 0.005704956070281583, 0.9849143953504859], ""participation_ratio"": 1.0307407497167413, ""channels_at_least_10pct"": 1}], ""minimum_loo_correlation"": 0.19133940345157016, ""median_principal_angle_deg"": 0.4711433001827886, ""incremental_oof_improvement"": -0.7857206101067878}"
sheet2_to_sheet1,2,0.011298824435615338,0.001600917831699054,"[0.013002799404485559, 0.007187206954089797, 0.010496660322738039, 0.014508631061147954]",False,"{""participation"": [{""fractions"": [4.545801314065754e-05, 0.009335190566091915, 0.005704956070281583, 0.9849143953504859], ""participation_ratio"": 1.0307407497167413, ""channels_at_least_10pct"": 1}, {""fractions"": [0.8996879855399689, 0.02380831483901552, 0.07563293915486449, 0.000870760466151203], ""participation_ratio"": 1.225901223197183, ""channels_at_least_10pct"": 1}], ""minimum_loo_correlation"": 0.005584303944695902, ""median_principal_angle_deg"": 1.6446134779301453, ""incremental_oof_improvement"": 0.8880093330513283}"
