candidate,baseline,direction,block_min,mean_difference,median,lower_95,upper_95,positive_probability,relative_mse_improvement
Shared-Private-K,Persistence,sheet1_to_sheet2,10,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet1_to_sheet2,22,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet1_to_sheet2,40,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet1_to_sheet2,60,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet2_to_sheet1,10,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet2_to_sheet1,22,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet2_to_sheet1,40,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,sheet2_to_sheet1,60,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,pooled,10,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,pooled,22,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,pooled,40,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,Persistence,pooled,60,0.0,0.0,0.0,0.0,0.0,0.0
Shared-Private-K,K-only,sheet1_to_sheet2,10,0.006874779447093312,0.006676901569627804,-0.005325489960128295,0.016304928651798237,0.874,0.06502481524322709
Shared-Private-K,K-only,sheet1_to_sheet2,22,0.006874779447093312,0.004659895097738042,-0.007763598955500124,0.018786959597442025,0.776,0.06502481524322709
Shared-Private-K,K-only,sheet1_to_sheet2,40,0.006874779447093312,0.004150408742235493,-0.006438650265594025,0.015861569233904492,0.748,0.06502481524322709
Shared-Private-K,K-only,sheet1_to_sheet2,60,0.006874779447093312,0.004131020543300109,-0.004931889333092382,0.015723204045316415,0.788,0.06502481524322709
Shared-Private-K,K-only,sheet2_to_sheet1,10,-0.196510503207679,-0.19678168258363243,-0.29639448240555494,-0.10753199780718362,0.0,-0.8308728424087837
Shared-Private-K,K-only,sheet2_to_sheet1,22,-0.196510503207679,-0.18969047610475143,-0.29482746903960494,-0.09848199804784777,0.0,-0.8308728424087837
Shared-Private-K,K-only,sheet2_to_sheet1,40,-0.196510503207679,-0.17853260760814804,-0.2873925100157019,-0.055198895095907766,0.0,-0.8308728424087837
Shared-Private-K,K-only,sheet2_to_sheet1,60,-0.196510503207679,-0.17635658523933412,-0.2976902679746919,-0.0633156603849781,0.004,-0.8308728424087837
Shared-Private-K,K-only,pooled,10,-0.09317172922954307,-0.09288953340383033,-0.14155474147031955,-0.05164736057180993,0.0,-0.5478767063272375
Shared-Private-K,K-only,pooled,22,-0.09317172922954307,-0.09355220937517406,-0.15587017580341644,-0.03727236440046199,0.0,-0.5478767063272375
Shared-Private-K,K-only,pooled,40,-0.09317172922954307,-0.0915958865796309,-0.17052923256735797,-0.02863149712520101,0.006,-0.5478767063272375
Shared-Private-K,K-only,pooled,60,-0.09317172922954307,-0.08872203994657474,-0.1796313699979159,-0.019183005133316323,0.0,-0.5478767063272375
Shared-Private-K,Dynamic-PLS,sheet1_to_sheet2,10,0.0067064217738026085,0.00885571904998107,-0.03486926919815421,0.04877461472776895,0.654,0.06353358233166072
Shared-Private-K,Dynamic-PLS,sheet1_to_sheet2,22,0.0067064217738026085,0.010359605533606668,-0.03958494181072971,0.06830514935362471,0.666,0.06353358233166072
Shared-Private-K,Dynamic-PLS,sheet1_to_sheet2,40,0.0067064217738026085,0.014001181388516257,-0.04710473424731506,0.07230942264924088,0.668,0.06353358233166072
Shared-Private-K,Dynamic-PLS,sheet1_to_sheet2,60,0.0067064217738026085,0.018867297904084552,-0.0550634019101341,0.07499357142673956,0.72,0.06353358233166072
Shared-Private-K,Dynamic-PLS,sheet2_to_sheet1,10,-0.2173915760283429,-0.20980607287776798,-0.4083289957866928,-0.04235878216645278,0.01,-1.0081701370105791
Shared-Private-K,Dynamic-PLS,sheet2_to_sheet1,22,-0.2173915760283429,-0.21005590454494447,-0.42776910772431104,-0.0026391210715906764,0.024,-1.0081701370105791
Shared-Private-K,Dynamic-PLS,sheet2_to_sheet1,40,-0.2173915760283429,-0.1841361754187276,-0.4177392087809819,0.05311218027319886,0.066,-1.0081701370105791
Shared-Private-K,Dynamic-PLS,sheet2_to_sheet1,60,-0.2173915760283429,-0.17860385158805478,-0.41445190127519005,0.04408794574453456,0.056,-1.0081701370105791
Shared-Private-K,Dynamic-PLS,pooled,10,-0.1035288026676111,-0.10460039693347642,-0.1902809817140472,-0.013960281212864328,0.01,-0.6482600034746542
Shared-Private-K,Dynamic-PLS,pooled,22,-0.1035288026676111,-0.10325714231760402,-0.22931589241894254,0.026579104452770244,0.062,-0.6482600034746542
Shared-Private-K,Dynamic-PLS,pooled,40,-0.1035288026676111,-0.09405595740742172,-0.2387720205979458,0.019905920670378992,0.058,-0.6482600034746542
Shared-Private-K,Dynamic-PLS,pooled,60,-0.1035288026676111,-0.09138758056767067,-0.23729390331976463,0.03924651250202288,0.09,-0.6482600034746542
Shared-Private-K,NLinear-U,sheet1_to_sheet2,10,-0.051384739241284005,-0.04956075321556297,-0.08221861058861292,-0.0186869552085634,0.0,-1.0825598756457044
Shared-Private-K,NLinear-U,sheet1_to_sheet2,22,-0.051384739241284005,-0.0462321118271721,-0.09228142485559107,-0.01265005285387677,0.002,-1.0825598756457044
Shared-Private-K,NLinear-U,sheet1_to_sheet2,40,-0.051384739241284005,-0.04716212283502697,-0.08855237270867909,-0.009166263191253611,0.01,-1.0825598756457044
Shared-Private-K,NLinear-U,sheet1_to_sheet2,60,-0.051384739241284005,-0.0415491422767575,-0.08973756821901657,-0.005762406044934035,0.004,-1.0825598756457044
Shared-Private-K,NLinear-U,sheet2_to_sheet1,10,-0.20994596904452004,-0.20437427707313202,-0.3449750177733275,-0.08567630036558528,0.0,-0.9411432853863702
