direction,candidate_channel_index,candidate_channel,baseline_fold_mse,candidate_fold_mse,baseline_oof_mse,candidate_oof_mse,candidate_oof_se,conditional_oof_improvement,minimum_channel_energy_fraction,fold_private_median_abs_correlation,maximum_orthogonality_error,inner_gate_pass
sheet1_to_sheet2,,,"[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]","[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]",0.4231231256764933,0.4231231256764933,0.23379387675033222,0.0,0.0,0.0,0.0,True
sheet1_to_sheet2,0,joint_lift,"[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]","[0.09243705373307587, 0.15813364769004348, 0.6507390313876036, 0.4361634090081535]",0.4231231256764933,0.3343682854547191,0.12911302041615405,0.2097612605784005,0.0013865426746357077,0.9999917665129601,0.0,False
sheet1_to_sheet2,1,heater_power,"[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]","[0.22513363717872073, 0.13236598626497303, 0.2354386929014115, 1.0908247486660783]",0.4231231256764933,0.42094076625279586,0.22449413588347045,0.005157740835385105,0.00018242147555219235,0.9947615483593717,0.0,False
sheet1_to_sheet2,2,crystal_rotation,"[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]","[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]",0.4231231256764933,0.4231231256764933,0.23379387675033222,0.0,0.0,0.0,0.0,False
sheet1_to_sheet2,3,crucible_rotation,"[0.23210319701376697, 0.15086000658792423, 0.18679909988935822, 1.1227301992149237]","[0.2247807986895554, 0.1328219564690682, 0.2335670190144934, 1.0915557843314445]",0.4231231256764933,0.4206813896261404,0.22478217899917674,0.005770745918103733,0.8394439060257399,0.5314583218441047,0.0,False
sheet2_to_sheet1,,,"[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]","[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]",0.05649863017274685,0.05649863017274685,0.025509247926126993,0.0,0.0,0.0,0.0,True
sheet2_to_sheet1,0,joint_lift,"[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]","[0.08384322375996499, 0.013456994186866909, 0.017022179111805483, 0.030159794281673945]",0.05649863017274685,0.03612054783507783,0.01630789362091158,0.3606827683319438,0.10537589882626643,0.9996379288798583,0.0,False
sheet2_to_sheet1,1,heater_power,"[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]","[0.1392066785583448, 0.01887133688657529, 0.03610529843143078, 0.03986903806588372]",0.05649863017274685,0.05851308798555865,0.027283440673528815,-0.03565498502622998,0.012135506372863246,0.9830892406779733,0.0,False
sheet2_to_sheet1,2,crystal_rotation,"[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]","[0.13796590925293412, 0.01877307220603261, 0.03578271494948159, 0.040053131927048076]",0.05649863017274685,0.0581437070838741,0.027001410038091426,-0.029117111443186426,0.0256049010173392,0.9924659622325278,0.0,False
sheet2_to_sheet1,3,crucible_rotation,"[0.13161212068874023, 0.018407085249532953, 0.034092386063049186, 0.04188292868966507]","[0.13919999031262817, 0.01885997103643393, 0.03607718706459319, 0.03988734840450801]",0.05649863017274685,0.05850612420454082,0.027284051388461555,-0.03553172927655015,0.8098600358503609,0.999939328315834,0.0,False
