model,pooled_MSE,pooled_RMSE,pooled_MAE,pooled_R2,sheet1_to_sheet2_RMSE,sheet2_to_sheet1_RMSE
NLinear-U,0.1338493819666957,0.3658543179555159,0.26783093728105833,0.4914154960498929,0.2178668304963204,0.4723086465322751
Dynamic-PLS,0.15970259172662177,0.3996280667403402,0.3079209047306967,0.3931816329713046,0.32489554759275946,0.46435961345203863
K-only,0.1700596651646898,0.4123829108543294,0.3298756154184327,0.3538280926001932,0.32515453944069383,0.48632388736930315
Persistence,0.2632313943942329,0.5130608096456334,0.3913075350111396,-0.00019444374720145596,0.3144053038226239,0.6580436358127549
Shared-Private-K,0.2632313943942329,0.5130608096456334,0.3913075350111396,-0.00019444374720145596,0.3144053038226239,0.6580436358127549
