direction,mother_space,support,support_mask,lambda_0,lambda_2,oof_mse,oof_se,maximum_kkt,maximum_condition
sheet1_to_sheet2,V0,[],0,1e-06,0.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,1e-06,0.0001,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,1e-06,0.01,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,1e-06,1.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,1e-06,100.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,1e-06,10000.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.0001,0.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.0001,0.0001,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.0001,0.01,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.0001,1.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.0001,100.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.0001,10000.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.01,0.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.01,0.0001,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.01,0.01,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.01,1.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.01,100.0,0.4231231256764933,0.23379387675033222,0.0,1.0
sheet1_to_sheet2,V0,[],0,0.01,10000.0,0.4231231256764933,0.23379387675033222,0.0,1.0
