model,pooled_MSE,pooled_RMSE,pooled_MAE,pooled_R2,sheet1_to_sheet2_RMSE,sheet2_to_sheet1_RMSE
Joint-K+AR,0.12365224168564098,0.35164220691725984,0.27981256338168525,0.5301613419802109,0.23504212803526814,0.44080697460642576
Temporal Autoencoder,0.13812669777932346,0.3716540027758661,0.2706873482746149,0.4751630747922101,0.22136952900215878,0.479772553849568
Shared-Private-K-to-Residual,0.2404792493879335,0.4903868364749746,0.3754747252192372,0.08625637292305288,0.3144053038226239,0.6219070861970281
