mother_space,direction,basis_size,lambda_0,lambda_2,oof_mse,oof_se,maximum_kkt,maximum_condition
V0,sheet1_to_sheet2,14,0.0001,10000.0,0.21115146355809128,0.08808038357914867,2.398453890103094e-13,15250390376.044603
V0,sheet2_to_sheet1,14,0.01,1.0,0.01187261524904653,0.0017572363442821188,2.467728124040011e-12,175719265.44335195
V1,sheet1_to_sheet2,25,0.0001,10000.0,0.21949158125428203,0.08727477023712796,3.7858381557283953e-13,9672615116.944756
V1,sheet2_to_sheet1,25,0.01,0.01,0.01166228199253027,0.001919583688048443,6.643578024071312e-13,105907978.70378184
