field,value
E0_STATUS,REUSED_E0_COMPONENT_IDENTITY_PASS_FROM_V03
OLD_E1_STATUS,E1_COMPRESSED_LAG_BASIS_UNDERSPECIFIED
E1R_STATUS,E1R_REPRESENTATION_CERTIFIED_32x16
E2A_STATUS,E2A_ESTIMATOR_OR_DATA_EXCITATION_FAIL
E2B_STATUS,NOT_YET_RUN
E3_STATUS,NOT_YET_RUN
REPRESENTATION_CERTIFIED,TRUE
SINGLE_KERNEL_CAPACITY_VALID,FALSE
JOINT_EXTERNAL_CAPACITY_VALID,NOT_YET_RUN
DOUBLE_RESIDUALIZATION_VALID,NOT_YET_RUN
NEXT_ALLOWED_STAGE,STOP_SINGLE_KERNEL_CAPACITY
