epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.40988421630859373,0.6577600047714616,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.4253131408691406,0.6708866959034396,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.4223052062988281,0.6612995139262848,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.41419525146484376,0.6566970900767221,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.41030157470703127,0.656397630343905,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.4085886535644531,0.6568143964372184,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.4080423380533854,0.6560866612203375,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.4080536092122396,0.6568743309939504,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.408018798828125,0.6555285515404845,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.4075664876302083,0.6555123737718219,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.4070044860839844,0.6551064254843922,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.4066910705566406,0.6546744013456947,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.40647136433919273,0.6545418850965178,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.4061438395182292,0.6540717196555168,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.40584940592447916,0.6537308419157497,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.4055818888346354,0.6535774029377541,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.4052870076497396,0.6532998233427647,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.40501209513346353,0.6529245169272536,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.4047232259114583,0.6526193280195488,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.40443499755859375,0.6524813664724457,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.4041497802734375,0.6522987914896871,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.40386151123046876,0.6519458460872872,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.4035624287923177,0.6515192441052322,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.403259521484375,0.6511149542083563,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.4029475402832031,0.6507806169339658,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,0.4026280517578125,0.6505067463905424,0.4166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,0.4023087361653646,0.6502350602243175,0.43333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,0.4020003255208333,0.6499313083445097,0.45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,0.40170840454101564,0.6496008718625687,0.4666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,0.4014242146809896,0.6492454022056345,0.48333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,0.401136962890625,0.6488387077704072,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,0.400846923828125,0.6483831631977803,0.5166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,0.4005579833984375,0.6478929848549209,0.5333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,0.40027210489908854,0.6473908156315338,0.55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,0.3999859822591146,0.6469169153464208,0.5666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,0.3997003987630208,0.6464596388772199,0.5833333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
180,0.39941584269205727,0.6460029126742338,0.6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
185,0.3991324361165365,0.6455508980042259,0.6166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
190,0.3988488972981771,0.6450988031459309,0.6333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
195,0.39857012939453124,0.6446332305684567,0.65,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
200,0.39829585774739584,0.6441466181877044,0.6666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
205,0.39802108764648436,0.6436670342471816,0.6833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
210,0.3977485656738281,0.6432032483602457,0.7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
215,0.39747519938151044,0.6427448966715066,0.7166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
220,0.39720318603515625,0.6422768813254578,0.7333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
225,0.39693310546875,0.6418016300036878,0.75,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
230,0.3966653035481771,0.6413223624345199,0.7666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
235,0.39640020751953126,0.6408339264878933,0.7833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
240,0.39613787841796877,0.6403373496733723,0.8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
245,0.39587872314453126,0.6398362140887112,0.8166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
250,0.39562283325195313,0.6393293872720756,0.8333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
255,0.3953700358072917,0.6388178111173649,0.85,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
260,0.3951201578776042,0.6383059683861211,0.8666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
265,0.39487269083658855,0.6377969925157294,0.8833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
270,0.39462725830078127,0.637290052362222,0.9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
275,0.3943830769856771,0.636784122410953,0.9166666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
280,0.39413926188151044,0.6362803561720184,0.9333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
285,0.3938945922851563,0.6357800547958169,0.95,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
290,0.39364891560872395,0.6352800319498013,0.9666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
295,0.393399169921875,0.6347863458156487,0.9833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
300,0.39314269002278646,0.6342985300661989,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
305,0.39287349446614583,0.6338210520143382,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
310,0.3925841064453125,0.6333559828606584,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
315,0.3922715861002604,0.6329012042382064,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
320,0.39193441772460935,0.6324520095893393,1.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
