direction,edf,mean_mse,se_mse,fold_0_mse,fold_0_lambda,fold_0_attained_df,fold_1_mse,fold_1_lambda,fold_1_attained_df,fold_2_mse,fold_2_lambda,fold_2_attained_df,fold_3_mse,fold_3_lambda,fold_3_attained_df
sheet1_to_sheet2,1.0000001177848457,0.42065753254348154,0.2247893663635472,0.22479279532495236,19280993494.240677,1.0000001177848457,0.13282847246430785,20550811498.745106,1.0000001177848352,0.23345041193740249,21674883193.519756,1.0000001177848457,1.0915584504472637,22224609436.67486,1.0000001177848465
sheet1_to_sheet2,2.891529459812554,0.3476143328179915,0.1591202232287,0.17370146825294908,809.4884563765829,2.891529460352262,0.12862003165722138,836.4875996236896,2.8915294583816586,0.27163559707427803,882.6144031202919,2.8915294587644023,0.8165002342875174,922.7546237371956,2.8915294591668945
sheet1_to_sheet2,4.783058801840262,0.3135115883107571,0.12346190483163104,0.15465555350084823,259.39570057253036,4.783058794079144,0.13847774604567625,262.87304697267774,4.7830587897202905,0.29164340151572044,281.36556637370177,4.783058743153679,0.6692696521807836,299.32497835574,4.783058873579339
sheet1_to_sheet2,5.728823472854117,0.30244578898690755,0.11719307058224228,0.1511524850878217,165.03396157338153,5.728823452096388,0.14283405852788295,166.7298350791064,5.728823472854144,0.27335284969182105,180.39510274176882,5.728823472854597,0.6424437626401045,193.1271942318519,5.728823472858708
sheet1_to_sheet2,6.674588143867971,0.2948354355394046,0.1183253009909784,0.1493352868528964,109.51446963862516,6.674588143878974,0.14509734396070384,110.6760525733363,6.674588144040928,0.2414123664922358,121.18608820988825,6.67458814467798,0.6434967448517825,130.337341865685,6.674588146021267
sheet1_to_sheet2,6.704143289837154,0.29467373340625425,0.11848088569283238,0.1492927639941693,108.17986473599008,6.704143289850593,0.14512914311921718,109.33260331017016,6.704143290040869,0.24031618516488615,119.76091514710293,6.704143290775294,0.6439568413467445,128.81988003042684,6.704143292283122
sheet1_to_sheet2,6.733698435806337,0.2945175475967931,0.11864367867409416,0.1492507883999182,106.86480348057714,6.733698435822674,0.14515850063290286,108.00896853339822,6.73369843604543,0.23921859168763418,118.35638496756657,6.733698436889608,0.6444423096667171,127.32408940683042,6.733698438577962
sheet1_to_sheet2,6.76325358177552,0.2943669651259323,0.11881366391670747,0.14920933602833514,105.56894477773079,6.763253581795287,0.14518541157641027,106.7047944750506,6.763253582055171,0.23812000061593114,116.97213035964408,6.763253583022728,0.6449531122830525,125.84959041666711,6.763253584908711
sheet1_to_sheet2,6.792808727744703,0.2942220735605358,0.11899082423087137,0.14916838326640067,104.29195462217179,6.7928087277685165,0.14520987121310117,105.41973494118929,6.792808728070714,0.23702082723745393,115.60779191280263,6.792808729176624,0.6454892125251875,124.39601156381869,6.792808731278486
sheet1_to_sheet2,6.822363873713885,0.2940829609793779,0.11917514125371112,0.1491279069265827,103.03350592276192,6.822363873742447,0.1452318749855266,104.15345112114711,6.822363874092734,0.23592148744073937,114.2630179173287,6.822363875353399,0.646050574564663,122.96298923024233,6.822363877690584
sheet1_to_sheet2,6.851919019683068,0.29394971593311264,0.11936659545034711,0.14908788424351263,101.79327833240046,6.8519190197171875,0.14525141850614584,102.90561140233997,6.851919020121964,0.23482239758433576,112.93746416993186,6.851919021555324,0.6466371633984564,121.55016747793617,6.851919024148513
sheet1_to_sheet2,6.881474165652251,0.2938224274042615,0.11956516611733493,0.1490482928706385,100.5709580828769,6.88147416569285,0.1452684975482879,101.67589119046302,6.881474166159204,0.2337239743664819,111.63079378503863,6.881474167784835,0.6472489448316378,120.15719785670345,6.881474170655969
