direction,rank1_energy_ratio,singular_values,spectral_gap,rank1_RMSE,general_linear_RMSE,rank1_vs_linear_relative_MSE_gap,channel_coordinates,time_shape_abs_correlation,channel_sign_agreement,structure_status
sheet1_to_sheet2,0.9981046983146515,"[0.02221429525647696, 0.0009383479288123293, 0.00023078814918884823, 5.744424676806047e-05]",23.673836297154384,0.3232993646267773,0.3234210874668573,0.0007525788452091168,"[-0.07889258633778058, -0.12890426136317168, 0.8989830378675037, -0.4110828977832391]",0.8454330175350903,0.25,NLINEAR_PREDICTIVE_ONLY
sheet2_to_sheet1,0.9953035124740629,"[1.8308216267989916, 0.11588187238688671, 0.04610761416517993, 0.016185016349602642]",15.799033870341303,0.5230177202081748,0.5234270733790161,0.0015635152309868624,"[0.13443419880465263, -0.04028368037849467, -0.0067154443809789265, 0.9900805896964552]",0.8454330175350903,0.25,NLINEAR_PREDICTIVE_ONLY
