model,sheet1_to_sheet2_MSE,sheet1_to_sheet2_RMSE,sheet1_to_sheet2_MAE,sheet1_to_sheet2_R2,sheet1_to_sheet2_rows,sheet2_to_sheet1_MSE,sheet2_to_sheet1_RMSE,sheet2_to_sheet1_MAE,sheet2_to_sheet1_R2,sheet2_to_sheet1_rows,pooled_MSE,pooled_RMSE,pooled_MAE,pooled_R2,pooled_rows
Persistence,0.09885069507179642,0.3144053038226239,0.24701602321050214,-0.004410166018019579,3233,0.43302142663366966,0.6580436358127549,0.5403472978390823,-0.0030122249495421194,3130,0.2632313943942329,0.5130608096456334,0.3913075350111396,-0.00019444374720145596,6363
old K-only,0.10572547451888974,0.32515453944069383,0.256597761123295,-0.07426398303748516,3233,0.23651092342599064,0.48632388736930315,0.4055648495833463,0.45216718402468004,3130,0.1700596651646898,0.4123829108543294,0.3298756154184327,0.3538280926001932,6363
Dynamic-PLS,0.10555711684559901,0.32489554759275946,0.27091970446096764,-0.07255332072542431,3233,0.21562985060532672,0.46435961345203863,0.3461397163831038,0.5005342393734351,3130,0.15970259172662177,0.3996280667403402,0.3079209047306967,0.3931816329713046,6363
NLinear-U,0.047465955830512406,0.2178668304963204,0.17403016218212336,0.5177040632713628,3233,0.22307545758914957,0.4723086465322751,0.36471844715161966,0.4832878991980749,3130,0.1338493819666957,0.3658543179555159,0.26783093728105833,0.4914154960498929,6363
R1-LIN-DERIVED,0.10452247916807789,0.3232993646267773,0.2551807850707222,-0.06204049023199465,3233,0.2735475356517566,0.5230177202081748,0.4159930163113628,0.3663788776077189,3130,0.1876669749709876,0.4332054650751622,0.3342853401207308,0.2869259912071517,6363
LIN-UOI,0.10460119981824459,0.3234210874668573,0.2552715258986526,-0.06284036140382177,3233,0.2739759011461219,0.5234270733790161,0.4176240938337535,0.36538664996915804,3130,0.1879176881344879,0.43349473830081015,0.3351337823243741,0.28597336200543977,6363
FULL-UOI,0.10449928657720155,0.323263494037297,0.25515346112585297,-0.061804833072117704,3233,0.1894798380575617,0.43529281875257453,0.3501689534992906,0.5611057969332909,3130,0.14630175807390547,0.3824941281561136,0.3018921836040645,0.444100480975253,6363
