direction,channel,linear_energy,nonlinear_energy,loo_mse_delta,bootstrap_positive_probability,beta_cross_direction_correlation,nonlinear_cross_direction_correlation,full_surface_cross_direction_correlation,placebo_destroyed,ood_positive_gain_fraction,channel_status
sheet1_to_sheet2,joint_lift,5.296973561801831e-07,1.334948850105441e-07,0.0008053931938402648,1.0,-0.5694808599780963,-0.29074801235746595,0.733113348795686,True,0.2532057421702988,PREDICTIVE_ONLY
sheet1_to_sheet2,heater_power,1.4822588945085014e-06,5.3532279995260516e-08,0.00020331013139315846,0.89,0.9123217711413031,0.7218632622390239,-0.14356333339197003,True,0.2532057421702988,PREDICTIVE_ONLY
sheet1_to_sheet2,crystal_rotation,6.647881445702854e-05,1.308719604533253e-08,0.0004130225340022581,0.918,0.448899063854342,0.7765395776437998,-0.6705933399945164,True,0.2532057421702988,PREDICTIVE_ONLY
sheet1_to_sheet2,crucible_rotation,1.3911224890405043e-05,3.572734130832761e-10,1.8359028846753889e-06,0.589,0.7688862489966223,-0.3699191850424092,0.4623245308038883,True,0.2532057421702988,UNRESOLVED
sheet2_to_sheet1,joint_lift,0.010426678061658043,0.0012223279419385673,0.1993146710625598,1.0,-0.5694808599780963,-0.29074801235746595,0.733113348795686,True,0.3907764454113678,PREDICTIVE_ONLY
sheet2_to_sheet1,heater_power,0.001055290027144966,0.002292002785755162,0.05674941012716128,0.997,0.9123217711413031,0.7218632622390239,-0.14356333339197003,True,0.3907764454113678,PREDICTIVE_ONLY
sheet2_to_sheet1,crystal_rotation,0.0021771161476114125,1.3734557380107603e-05,0.004954663681460386,0.857,0.448899063854342,0.7765395776437998,-0.6705933399945164,True,0.3907764454113678,PREDICTIVE_ONLY
sheet2_to_sheet1,crucible_rotation,0.5476282998204254,2.772872806790626e-05,-0.0002534984380631322,0.183,0.7688862489966223,-0.3699191850424092,0.4623245308038883,True,0.3907764454113678,UNRESOLVED
