comparison,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,10,0.00097430279212979,0.00111898516302408,-0.0007687296953975309,0.0031414726851336674,0.889
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,22,0.00097430279212979,0.0014492345237655975,-0.000687223062610212,0.003426657961627625,0.892
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,40,0.00097430279212979,0.0015982759678166746,-0.0001114256880688472,0.003409209746454874,0.964
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,60,0.00097430279212979,0.0015151163563344406,-1.6876826712646717e-05,0.0029731454929466054,0.973
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,10,0.30840691730582254,0.3103950004242661,0.20290356160462014,0.3906195520492927,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,22,0.30840691730582254,0.3142037993876843,0.1731731587159676,0.41428078023498743,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,40,0.30840691730582254,0.30994014815974946,0.17651420189184333,0.4239499027644651,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,60,0.30840691730582254,0.3180942624016764,0.18345325916042227,0.44488978615298946,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,10,0.2214582909874826,0.22531520612103148,0.13652296267253733,0.2953589135152897,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,22,0.2214582909874826,0.227411541827138,0.1092544358337709,0.3140617800642375,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,40,0.2214582909874826,0.22650176341140088,0.11188883468208083,0.32564119318994605,1.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,60,0.2214582909874826,0.22737544607078697,0.09838018616293637,0.3173214579774092,1.0
