epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.3247051086425781,0.5640276294190266,0.003,"[1, 3, 6, 8, 9]"
5,0.325498291015625,0.5566192430103841,0.003,"[1, 3, 6, 8, 9]"
10,0.3249235229492187,0.5550787847462652,0.003,"[1, 3, 6, 8, 9]"
15,0.3251585896809896,0.5566968173391571,0.003,"[1, 3, 6, 8, 9]"
20,0.3244296875,0.5539177647780569,0.003,"[1, 3, 6, 8, 9]"
25,0.32357991536458336,0.5541018034565038,0.003,"[1, 3, 6, 8, 9]"
30,0.32302188110351565,0.5542578386536219,0.003,"[1, 3, 6, 8, 9]"
35,0.3227996622721354,0.5533639854918759,0.003,"[1, 3, 6, 8, 9]"
40,0.3226025695800781,0.5538331062866688,0.003,"[1, 3, 6, 8, 9]"
45,0.32226158650716147,0.5533253521324502,0.003,"[1, 3, 6, 8, 9]"
50,0.32198046875,0.5529515915941325,0.003,"[1, 3, 6, 8, 9]"
55,0.3217587890625,0.553082073722732,0.003,"[1, 3, 6, 8, 9]"
60,0.3214933166503906,0.5528682755215071,0.003,"[1, 3, 6, 8, 9]"
65,0.32126662190755206,0.5525307708042575,0.003,"[1, 3, 6, 8, 9]"
70,0.32103192138671877,0.5524223942862784,0.003,"[1, 3, 6, 8, 9]"
75,0.320811279296875,0.5523574797179728,0.003,"[1, 3, 6, 8, 9]"
80,0.3205918884277344,0.5521785798833845,0.003,"[1, 3, 6, 8, 9]"
85,0.3203822021484375,0.5519744113022105,0.003,"[1, 3, 6, 8, 9]"
90,0.3201758015950521,0.5518252793375957,0.003,"[1, 3, 6, 8, 9]"
95,0.31997670491536456,0.5517128922533129,0.003,"[1, 3, 6, 8, 9]"
100,0.3197832845052083,0.5516015334541632,0.003,"[1, 3, 6, 8, 9]"
105,0.319595458984375,0.5514802745013302,0.003,"[1, 3, 6, 8, 9]"
110,0.3194138488769531,0.5513565258112826,0.003,"[1, 3, 6, 8, 9]"
115,0.3192382100423177,0.5512392820670077,0.003,"[1, 3, 6, 8, 9]"
120,0.31906836954752604,0.5511313160573099,0.003,"[1, 3, 6, 8, 9]"
125,0.3189043172200521,0.5510313317448048,0.003,"[1, 3, 6, 8, 9]"
130,0.31874588012695315,0.5509369793141329,0.003,"[1, 3, 6, 8, 9]"
135,0.31859290568033855,0.5508470428345871,0.003,"[1, 3, 6, 8, 9]"
140,0.3184451497395833,0.5507606933220578,0.003,"[1, 3, 6, 8, 9]"
145,0.318302490234375,0.5506771288994747,0.003,"[1, 3, 6, 8, 9]"
150,0.3181648152669271,0.55059610141603,0.003,"[1, 3, 6, 8, 9]"
155,0.31803200276692706,0.5505169190622828,0.003,"[1, 3, 6, 8, 9]"
160,0.31790399169921874,0.5504388618855214,0.003,"[1, 3, 6, 8, 9]"
165,0.3177806803385417,0.550362179889511,0.003,"[1, 3, 6, 8, 9]"
170,0.31766192626953127,0.5502863468018833,0.003,"[1, 3, 6, 8, 9]"
175,0.31754752604166664,0.5502111133802273,0.003,"[1, 3, 6, 8, 9]"
