epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.05009639104207357,0.23136794922738865,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.06054068501790365,0.23811684261577276,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.05902310943603516,0.2607852697319764,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.051758777618408205,0.24449262125001467,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.04951125971476237,0.23529565272110986,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.049607755025227865,0.25784507961760256,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.05014492543538412,0.23437789711751097,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.050017779032389326,0.24881602115626156,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.04939699427286784,0.2430020481855313,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.0491602783203125,0.23832629569095695,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.04927659606933594,0.2460825890326254,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.04917853546142578,0.24205584879433686,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.04912429173787435,0.2398177201749531,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.0491677729288737,0.2431523513118603,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.04915415191650391,0.24315483792743983,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.049201566060384117,0.24122085316157887,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.04923193359375,0.24155084224073206,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.049287916819254554,0.24270949291121424,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.049342758178710935,0.2427464882216534,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.0494119873046875,0.24219798206903076,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.0494859619140625,0.2420904149536928,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.04956932957967122,0.24243235165586818,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.04966071319580078,0.24276678295636417,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.04975936889648438,0.24288823305401913,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.04986573918660482,0.24289422465368993,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,0.049979071299235026,0.24292880499618608,0.4166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,0.050098995208740234,0.24303741367995627,0.43333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,0.050225396474202474,0.24319325565222108,0.45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,0.05035808181762695,0.24335642805198046,0.4666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,0.05049692153930664,0.2435055646632591,0.48333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,0.0506418711344401,0.24364113748653451,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,0.05079290898640951,0.24377240200291642,0.5166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,0.05095001220703125,0.24390892129983363,0.5333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,0.051113157908121744,0.2440567121417788,0.55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,0.051282388051350915,0.2442179721226815,0.5666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
