epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.06352756881713867,0.24601606226640244,0.003,"[0, 1, 2]"
5,0.06146434783935547,0.23568101293052232,0.003,"[0, 1, 2]"
10,0.06043274688720703,0.24040504608190033,0.003,"[0, 1, 2]"
15,0.05897098286946614,0.2416622643782311,0.003,"[0, 1, 2]"
20,0.05835578791300456,0.2348680685907616,0.003,"[0, 1, 2]"
25,0.057688199361165364,0.2320662655081821,0.003,"[0, 1, 2]"
30,0.05729066212972005,0.23366781330054048,0.003,"[0, 1, 2]"
35,0.05696587880452474,0.23527645650665543,0.003,"[0, 1, 2]"
40,0.05665737787882487,0.2350330524332354,0.003,"[0, 1, 2]"
45,0.05642739359537761,0.23433560866892247,0.003,"[0, 1, 2]"
50,0.056212764739990234,0.23404672648473993,0.003,"[0, 1, 2]"
55,0.05601525115966797,0.23422260670607248,0.003,"[0, 1, 2]"
60,0.055842647552490236,0.23458070400067677,0.003,"[0, 1, 2]"
65,0.05569065984090169,0.2350054914766247,0.003,"[0, 1, 2]"
70,0.055553951263427735,0.23537945568630175,0.003,"[0, 1, 2]"
75,0.05542982864379883,0.23570901278588413,0.003,"[0, 1, 2]"
80,0.0553167355855306,0.2359735039530309,0.003,"[0, 1, 2]"
85,0.055213296254475915,0.23621045624330833,0.003,"[0, 1, 2]"
90,0.055118141174316404,0.2364382652695866,0.003,"[0, 1, 2]"
95,0.05502987543741862,0.23666345334446082,0.003,"[0, 1, 2]"
100,0.05494734446207682,0.23688556094015858,0.003,"[0, 1, 2]"
105,0.054869734446207685,0.23708936025493374,0.003,"[0, 1, 2]"
110,0.05479641342163086,0.23726755110656295,0.003,"[0, 1, 2]"
115,0.05472690455118815,0.23741438276112445,0.003,"[0, 1, 2]"
120,0.05466072591145833,0.23753779863430008,0.003,"[0, 1, 2]"
125,0.054597465515136716,0.23765631099502013,0.003,"[0, 1, 2]"
130,0.054536781311035155,0.23778552911231712,0.003,"[0, 1, 2]"
