direction,edf,mean_mse,se_mse,fold_0_mse,fold_0_lambda,fold_0_attained_df,fold_1_mse,fold_1_lambda,fold_1_attained_df,fold_2_mse,fold_2_lambda,fold_2_attained_df,fold_3_mse,fold_3_lambda,fold_3_attained_df
sheet2_to_sheet1,1.0000001732168362,0.05854695778083282,0.027295201994362427,0.1392016002702553,16901903939.293276,1.0000001732168362,0.018860336117079563,17511885213.596287,1.0000001732168364,0.03607711550150703,17656959219.683933,1.000000173216851,0.03988715478946133,18116209751.6519,1.000000173216836
sheet2_to_sheet1,10.024851755002288,0.05749603888373454,0.016721470984370535,0.10561149159108642,40.1954349967771,10.024851761291558,0.051838549361196466,44.62073375584976,10.024851762741738,0.029150449010251187,46.5874074082257,10.024851770789253,0.043328749286754474,50.26847544507447,10.024851781165797
sheet2_to_sheet1,17.689607328514974,0.03880031258750334,0.008045484776229234,0.061085140204810665,4.765467826847953,17.68960732850922,0.039144469823485004,5.279500181599616,17.689607328494155,0.02411277080639737,5.543470710727288,17.689607328482495,0.0308377659435531,6.1909717219026446,17.68960732849387
sheet2_to_sheet1,17.719388167538398,0.03875218290645432,0.008022047315765257,0.06096465285006229,4.733123089485204,17.719388167532347,0.03911888976398648,5.2438266809508995,17.719388167516406,0.024103035557696603,5.506000605398616,17.71938816750415,0.03080114422464176,6.149469886585457,17.719388167516378
sheet2_to_sheet1,17.744388168425616,0.038711998391481456,0.008002461419794245,0.06086394832416501,4.706173171445129,17.74438816841931,0.03909766505692221,5.214104655207599,17.7443881684026,0.024094928566466882,5.474781206183079,17.74438816838982,0.030770521395850427,6.114885724535412,17.7443881684028
sheet2_to_sheet1,18.245867980065917,0.037947450506851874,0.007626617328830071,0.05892741870211041,4.2023909835248165,18.24586798005179,0.038719357027149896,4.6587475708628885,18.245867980010825,0.02394438017182652,4.891366248816576,18.245867979982073,0.03017926585448672,5.467629022936464,18.245867980020385
sheet2_to_sheet1,19.04970333678774,0.03688007725281043,0.007090401917729575,0.056140465266396544,3.522547618784082,19.04970333674356,0.03829577838107648,3.910049918845509,19.049703336595343,0.023745625060814648,4.104642717894189,19.049703336499725,0.029321423814560748,4.59176940083438,19.049703336660375
sheet2_to_sheet1,21.305916232234104,0.03478636516344594,0.00599186543551632,0.050107625312085034,2.210457226466435,21.305916231694003,0.03819913417778172,2.4671953909514177,21.305916229135633,0.023371803034009247,2.5883785149568,21.30591622740268,0.027456046190965505,2.8934418816616816,21.305916230524645
sheet2_to_sheet1,23.562129127680464,0.0337187748813432,0.005430650394898424,0.0460445359176065,1.438841349894065,23.56212911627182,0.03947717868574387,1.6187289508160578,23.56212914117557,0.023097622940807628,1.6974226919699955,23.56212912768051,0.026251026955948865,1.8905952681840463,23.562129127680485
sheet2_to_sheet1,24.126182351542056,0.03357186962721443,0.005366219473297061,0.045246341103033015,1.2988253004345423,24.126182215856375,0.03997773273640664,1.4644984999766297,24.126182351542113,0.023027823355603185,1.5356050849260894,24.126182351542543,0.026032441243803186,1.7083993691196993,24.12618235154223
sheet2_to_sheet1,24.690235575403648,0.03346391022450996,0.005330098008955805,0.044515295354486256,1.1745889527315763,24.690235575403655,0.04054140442507475,1.3274941986060305,24.690235575404216,0.022955227929242514,1.3919087682823494,24.690235575406767,0.02584220568136214,1.5466853866479942,24.690235575404913
sheet2_to_sheet1,24.972262187334444,0.03342329337216358,0.00532230474044636,0.04417234926083155,1.1177492075893551,24.97226218733448,0.04084536853064764,1.2647499028594664,24.97226218733585,0.02291770161535929,1.326115736966009,24.972262187341396,0.02575707779256066,1.472681103045808,24.972262187337396
sheet2_to_sheet1,25.25428879926524,0.03339096271500836,0.005321155531501065,0.043843192787862785,1.064125358718543,25.25428879926534,0.04116323835072749,1.205511887641739,25.254288799268476,0.02287929467280969,1.2640089296639556,25.25428879927974,0.025678290154103896,1.402851925386426,25.254288799271713
