epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.40988421630859373,0.6577600743657884,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.4253194783528646,0.6708820333238317,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.42229163614908855,0.6612636791177272,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.41420237223307294,0.6566502220818602,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.41031007893880206,0.6563111950634585,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.408614990234375,0.6566702988164276,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.4080757446289062,0.6559170239702461,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.40809161376953124,0.6566124371180652,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.4080759684244792,0.6552563627153164,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.4076442362467448,0.6551619514419221,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.4071121826171875,0.6546892713281527,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.4068168640136719,0.6542150368595367,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.40662253824869793,0.6539942163800792,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.4063331502278646,0.653464255676824,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.40606859334309897,0.6530744878044875,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.4058385314941406,0.65283872034017,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.4055861612955729,0.652477157017537,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.40535430908203124,0.6520355980639233,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
