regime,seed,selected_stages,truth_stages,exact_stage_vector,false_admission,folds_json
K_ONLY,10,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.008765335692058071, ""scores_json"": ""{\""A\"": 0.008765335692058071, \""C\"": 0.008765335692058071, \""K\"": 0.008765335692058071, \""W\"": 0.008765335692058071}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010217068844249487, ""scores_json"": ""{\""A\"": 0.010217068844249487, \""C\"": 0.010217068844249487, \""K\"": 0.010217068844249487, \""W\"": 0.010217068844249487}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.008914488344997806, ""scores_json"": ""{\""A\"": 0.008914488344997806, \""C\"": 0.008914488344997806, \""K\"": 0.008914488344997806, \""W\"": 0.008914488344997806}""}]"
K_ONLY,11,K+W,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+W"", ""rmse"": 0.011029782289185636, ""scores_json"": ""{\""A\"": 0.011029782289185636, \""C\"": 0.01103589109676133, \""K\"": 0.01103589109676133, \""W\"": 0.011029782289185636}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010192178332778272, ""scores_json"": ""{\""A\"": 0.010192178332778272, \""C\"": 0.010192178332778272, \""K\"": 0.010192178332778272, \""W\"": 0.010192178332778272}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+W"", ""rmse"": 0.010853532491761056, ""scores_json"": ""{\""A\"": 0.010853532491761056, \""C\"": 0.010938082220065743, \""K\"": 0.010938082220065743, \""W\"": 0.010853532491761056}""}]"
K_ONLY,12,K+C+W+A,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C+W+A"", ""rmse"": 0.009815606386108641, ""scores_json"": ""{\""A\"": 0.009815606386108641, \""C\"": 0.009947942231415971, \""K\"": 0.009949200128367664, \""W\"": 0.009855082859102653}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+W"", ""rmse"": 0.010070621135199822, ""scores_json"": ""{\""A\"": 0.010070621135199822, \""C\"": 0.010086757815264514, \""K\"": 0.010086757815264514, \""W\"": 0.010070621135199822}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.01071230709851298, ""scores_json"": ""{\""A\"": 0.01071230709851298, \""C\"": 0.01071230709851298, \""K\"": 0.01071230709851298, \""W\"": 0.01071230709851298}""}]"
K_ONLY,13,K+W,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+W"", ""rmse"": 0.009355680965950009, ""scores_json"": ""{\""A\"": 0.009355680965950009, \""C\"": 0.009391564926803398, \""K\"": 0.009391564926803398, \""W\"": 0.009355680965950009}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.008928773448148093, ""scores_json"": ""{\""A\"": 0.008928773448148093, \""C\"": 0.008928773448148093, \""K\"": 0.008928773448148093, \""W\"": 0.008928773448148093}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009964479307719818, ""scores_json"": ""{\""A\"": 0.009964479307719818, \""C\"": 0.009964479307719818, \""K\"": 0.009964479307719818, \""W\"": 0.009964479307719818}""}]"
K_ONLY,14,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.010254996565872272, ""scores_json"": ""{\""A\"": 0.010254996565872272, \""C\"": 0.010254996565872272, \""K\"": 0.010254996565872272, \""W\"": 0.010254996565872272}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010300060830862231, ""scores_json"": ""{\""A\"": 0.010300060830862231, \""C\"": 0.010300060830862231, \""K\"": 0.010300060830862231, \""W\"": 0.010300060830862231}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+A"", ""rmse"": 0.010955827311220384, ""scores_json"": ""{\""A\"": 0.010955827311220384, \""C\"": 0.011002586638147325, \""K\"": 0.011002586638147325, \""W\"": 0.011002586638147325}""}]"
K_ONLY,15,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009917194975405164, ""scores_json"": ""{\""A\"": 0.009917194975405164, \""C\"": 0.009917194975405164, \""K\"": 0.009917194975405164, \""W\"": 0.009917194975405164}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.009120797417877571, ""scores_json"": ""{\""A\"": 0.009120797417877571, \""C\"": 0.009120797417877571, \""K\"": 0.009120797417877571, \""W\"": 0.009120797417877571}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+C"", ""rmse"": 0.01151264972784248, ""scores_json"": ""{\""A\"": 0.01151264972784248, \""C\"": 0.01151264972784248, \""K\"": 0.011534981690576828, \""W\"": 0.01151264972784248}""}]"
K_ONLY,16,K+C,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C"", ""rmse"": 0.010335687783152553, ""scores_json"": ""{\""A\"": 0.010335687783152553, \""C\"": 0.010335687783152553, \""K\"": 0.010339106057677702, \""W\"": 0.010335687783152553}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+W"", ""rmse"": 0.010421903613099168, ""scores_json"": ""{\""A\"": 0.010421903613099168, \""C\"": 0.010437060422288976, \""K\"": 0.010437060422288976, \""W\"": 0.010421903613099168}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.008395011872660573, ""scores_json"": ""{\""A\"": 0.008395011872660573, \""C\"": 0.008395011872660573, \""K\"": 0.008395011872660573, \""W\"": 0.008395011872660573}""}]"
K_ONLY,17,K+C+W+A,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C+W+A"", ""rmse"": 0.00974401312585895, ""scores_json"": ""{\""A\"": 0.00974401312585895, \""C\"": 0.009785207137064428, \""K\"": 0.009803155992724008, \""W\"": 0.009756171446497108}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010472046762189685, ""scores_json"": ""{\""A\"": 0.010472046762189685, \""C\"": 0.010472046762189685, \""K\"": 0.010472046762189685, \""W\"": 0.010472046762189685}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+C"", ""rmse"": 0.00946772061095101, ""scores_json"": ""{\""A\"": 0.00946772061095101, \""C\"": 0.00946772061095101, \""K\"": 0.009541965697304935, \""W\"": 0.00946772061095101}""}]"
K_ONLY,18,K+C+W,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C+W"", ""rmse"": 0.010989103959207146, ""scores_json"": ""{\""A\"": 0.010989103959207146, \""C\"": 0.01099895009942051, \""K\"": 0.011014337845802668, \""W\"": 0.010989103959207146}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010188648913363605, ""scores_json"": ""{\""A\"": 0.010188648913363605, \""C\"": 0.010188648913363605, \""K\"": 0.010188648913363605, \""W\"": 0.010188648913363605}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009982663571236883, ""scores_json"": ""{\""A\"": 0.009982663571236883, \""C\"": 0.009982663571236883, \""K\"": 0.009982663571236883, \""W\"": 0.009982663571236883}""}]"
K_ONLY,19,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009437832341902958, ""scores_json"": ""{\""A\"": 0.009437832341902958, \""C\"": 0.009437832341902958, \""K\"": 0.009437832341902958, \""W\"": 0.009437832341902958}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.009729548731417086, ""scores_json"": ""{\""A\"": 0.009729548731417086, \""C\"": 0.009729548731417086, \""K\"": 0.009729548731417086, \""W\"": 0.009729548731417086}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+W"", ""rmse"": 0.011487668102077566, ""scores_json"": ""{\""A\"": 0.011487668102077566, \""C\"": 0.011540482062192032, \""K\"": 0.011540482062192032, \""W\"": 0.011487668102077566}""}]"
