task,Lx,Ly,horizon,fold,block,block_index,ridge_alpha,eigen_index,eigenvalue,trace,effective_rank,entropy_rank,lambda1_fraction,lambda10_over_lambda1,condition_estimate,coercive_dimension_1e-2,coercive_dimension_1e-3,coercive_dimension_1e-4
short,64,16,1,1,晶升速度,1,1e-08,1,9.879565630240233,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,2,8.38982119999701,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,3,3.8405934283189844,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,4,3.1974554817553558,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,5,2.3559605442901113,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,6,1.563656608109369,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,7,1.1997298354334065,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,8,0.929513616824986,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,9,0.8447055735129614,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,10,0.6660798262646151,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,11,0.5450845087992642,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,12,0.37873086301490577,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,13,0.3403802564405265,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,14,0.320438016212147,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,15,0.26935187374708297,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,16,0.1625301679361447,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,17,0.13239047498563497,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,18,0.12345191651448467,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,19,0.11961561934659828,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶升速度,1,1e-08,20,0.10861948858643815,35.99623011501868,6.312258447388216,9.854470456530773,0.27446111991928257,0.06741995055185626,146319.1081988886,20,36,48
short,64,16,1,1,晶转速度,2,0.01,1,18.031014348066012,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,2,15.308722731936673,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,3,9.212240645699787,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,4,4.565097023765823,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,5,2.363231282972266,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,6,0.5819495309387827,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,7,0.46002158146533484,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,8,0.24036607051645692,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,9,0.09688681314649802,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,10,0.0627572704452384,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,11,0.036427832385782344,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,12,0.030819317487646488,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,13,0.026128678462341823,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,14,0.024012026601463485,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,15,0.02008927782459899,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
short,64,16,1,1,晶转速度,2,0.01,16,0.014801323865069308,51.15350040825851,3.897402660269251,4.8091413803550465,0.35248837722071086,0.0034805180248758264,1477341.4902090903,8,15,27
