epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.042894213358561195,0.2246379907043236,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.0663878428141276,0.29404740232978516,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.06145360565185547,0.24196558475899763,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.05343525187174479,0.24024912619853617,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.049113867441813154,0.22746316297157482,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.046563788096110025,0.2297492825203237,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.045023841857910155,0.22369823688192544,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.04399945576985677,0.22484725853977308,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.0433494873046875,0.22298558771064142,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.042966463724772135,0.22291937235203274,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.04284150187174479,0.22371179350390621,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.042877967834472654,0.2226239611319239,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.04292599232991536,0.22343871216345149,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.042912153879801435,0.2225359804014672,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.04286261749267578,0.22255010490749255,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.04285780843098958,0.22271324311694618,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.042878260294596356,0.22231444776280743,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
