direction,partition,information_set,rows,support_hash,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill
Rod_1_to_Rod_2,formal_target_rod,input_only,2885,60999dc9b3208a1a6877addd743d1225e9008683e81544d4077ce51cf074f7c7,0.271936460484259,0.2159920511908345,-0.023211030826759238,-0.1044817899891115,-0.006749622987176185
Rod_1_to_Rod_2,formal_target_rod,dynamic,2885,60999dc9b3208a1a6877addd743d1225e9008683e81544d4077ce51cf074f7c7,0.28814666166376457,0.21958379791401977,-0.14883462735636366,-0.24008331360417356,-0.06676222261045539
Rod_2_to_Rod_1,formal_target_rod,input_only,2782,b87fc4e1286cf6a30242e5a097931724fb9e8f80ef4f42f909c553399d4c0fe6,0.6481237750487358,0.525706166288929,-0.00400946101743771,-0.8905754721384023,-0.001743940023917645
Rod_2_to_Rod_1,formal_target_rod,dynamic,2782,b87fc4e1286cf6a30242e5a097931724fb9e8f80ef4f42f909c553399d4c0fe6,0.6481237750487358,0.525706166288929,-0.00400946101743771,-0.8905754721384023,-0.001743940023917645
