direction,log10_lambda,lambda,effective_df,gcv,reml_diagnostic,rss,penalty_norm,target_energy,used_for_selection
sheet1_to_sheet2,-17.61233522494474,2.441545235558245e-18,669.9999994904456,83972176420.98102,79551.75331647665,192311726129680.06,1.2506638814660143e+21,1676.4134296214154,0.0
sheet1_to_sheet2,-16.61233522494474,2.441545235558245e-17,669.9999949044567,839720920.9364048,63726.082471442845,1923115336274.0073,1.2506638814662128e+19,1676.4134296214154,0.0
sheet1_to_sheet2,-15.61233522494474,2.441545235558245e-16,669.9999490446226,8397124.898955416,47900.380125304335,19230960899.230328,1.2506638814860624e+17,1676.4134296214154,0.0
sheet1_to_sheet2,-14.61233522494474,2.4415452355582454e-15,669.9994904518255,83962.8348806167,32074.363448029973,192290401.41094,1250663883471022.2,1676.4134296214154,0.0
sheet1_to_sheet2,-13.61233522494474,2.441545235558245e-14,669.9949050780599,838.8038697764005,16245.271526631679,1921022.0255835676,12506640819319.783,1676.4134296214154,0.0
sheet1_to_sheet2,-12.61233522494474,2.4415452355582455e-13,669.9491066646148,8.322522047426117,392.3027405644534,19060.791015369225,125068389305.7426,1676.4134296214154,0.0
sheet1_to_sheet2,-11.61233522494474,2.441545235558245e-12,669.4965604160046,0.09359883244358835,-15020.418832859348,214.43475768885423,1252630849.9902923,1676.4134296214154,0.0
sheet1_to_sheet2,-10.61233522494474,2.4415452355582453e-11,665.4360430555734,0.0188499709842383,-20316.415205595997,43.309154434333315,14196429.604450783,1676.4134296214154,0.0
sheet1_to_sheet2,-9.61233522494474,2.441545235558245e-10,643.5927282090627,0.01871139682113899,-19956.517342735624,43.65543132356656,907539.3683801357,1676.4134296214154,0.0
sheet1_to_sheet2,-8.61233522494474,2.4415452355582453e-09,595.0998968356148,0.018842859331158875,-19400.261906282423,45.46643250015067,165832.65884624372,1676.4134296214154,0.0
sheet1_to_sheet2,-7.61233522494474,2.4415452355582452e-08,525.7832042209499,0.019288797469919367,-18603.161571162593,48.78857547222805,28196.388515694176,1676.4134296214154,0.0
sheet1_to_sheet2,-6.61233522494474,2.441545235558245e-07,438.82778042826783,0.020350101628503158,-17483.1695095727,54.52469815367613,4096.790840874648,1676.4134296214154,0.0
sheet1_to_sheet2,-5.61233522494474,2.4415452355582452e-06,337.16230719394036,0.02192226741871083,-16044.933529123158,62.700674695570015,569.8495096746666,1676.4134296214154,0.0
sheet1_to_sheet2,-4.61233522494474,2.441545235558245e-05,236.5533193216242,0.024317481486998607,-14276.180748050016,74.04362043702204,88.71894814846884,1676.4134296214154,0.0
sheet1_to_sheet2,-3.61233522494474,0.0002441545235558245,158.02701644431593,0.02884050806817498,-12116.918585263864,92.0899601869337,11.427333041086417,1676.4134296214154,0.0
sheet1_to_sheet2,-2.61233522494474,0.0024415452355582455,104.65732686324318,0.03484833610335077,-9797.423683715073,114.85360027942767,1.6243978760801276,1676.4134296214154,0.0
sheet1_to_sheet2,-1.61233522494474,0.024415452355582453,67.94808175021075,0.043259813011043174,-7316.832782319797,145.67405510684338,0.2565475356202235,1676.4134296214154,0.0
sheet1_to_sheet2,-0.61233522494474,0.24415452355582454,41.55696189704782,0.057392534596406544,-4553.20009826215,196.24684004303026,0.05678441507416425,1676.4134296214154,0.0
sheet1_to_sheet2,0.38766477505526,2.4415452355582454,24.14350043435213,0.08861207881081014,-1226.664346685573,306.0554379675068,0.013440525938852041,1676.4134296214154,0.0
sheet1_to_sheet2,1.38766477505526,24.415452355582453,13.075124028490912,0.17350274245654848,2951.1473170219742,603.0779342983329,0.0018962014895859813,1676.4134296214154,0.0
sheet1_to_sheet2,2.38766477505526,244.15452355582454,5.913960637488339,0.2770850535903577,6427.997690973839,967.0772847576363,0.0002214808416653099,1676.4134296214154,0.0
sheet1_to_sheet2,3.38766477505526,2441.545235558245,2.0477566197152104,0.41027893506905916,9646.233982229061,1435.117019070857,1.2639347296730097e-05,1676.4134296214154,0.0
sheet1_to_sheet2,4.38766477505526,24415.452355582453,1.1232484533006546,0.4699204087639022,11964.444315235927,1644.6057660476658,1.8380077770809287e-07,1676.4134296214154,0.0
sheet1_to_sheet2,5.38766477505526,244154.52355582453,1.0125585578267173,0.47804041390432733,13866.617922374096,1673.1295816238953,1.9180084158850123e-09,1676.4134296214154,0.0
sheet1_to_sheet2,6.387664775055261,2441545.2355582505,1.0012582563768586,0.47888144202801414,15714.853030741811,1676.0839790762595,1.9263141392453176e-11,1676.4134296214154,0.0
sheet2_to_sheet1,-17.47559256537811,3.3450871318132776e-18,673.9999994069768,19017910747.99424,77024.17893958828,45319924000405.484,3.369583424600429e+20,748.246766808388,0.0
sheet2_to_sheet1,-16.47559256537811,3.3450871318132773e-17,673.9999940697694,190178799.8986104,60714.96291391815,453198508684.3201,3.369583424602292e+18,748.246766808388,0.0
sheet2_to_sheet1,-15.475592565378111,3.3450871318132775e-16,673.9999406977734,1901757.2517706724,44405.694600485214,4531911980.883743,3.3695834247886016e+16,748.246766808388,0.0
sheet2_to_sheet1,-14.475592565378111,3.3450871318132775e-15,673.99940698566,19014.508713927742,28095.905407312384,45311835.22689718,336958344341890.2,748.246766808388,0.0
sheet2_to_sheet1,-13.475592565378111,3.345087131813278e-14,673.9940706490761,189.84962448129832,11781.107562990925,452415.9080807209,3369585305929.8647,748.246766808388,0.0
sheet2_to_sheet1,-12.475592565378111,3.3450871318132775e-13,673.9407855749652,1.8798672579538165,-4563.466992821523,4479.928671690781,33697710394.597282,748.246766808388,0.0
sheet2_to_sheet1,-11.475592565378111,3.3450871318132777e-12,673.4156046465023,0.027848833244671946,-19454.07368353906,66.390591540813,338784160.09800667,748.246766808388,0.0
