direction,block_min,d,block_rows,mean_delta,se_delta,g,positive_probability
sheet1_to_sheet2,22.0,6.851919019683068,132,0.0012969810097789279,0.0026808561076497005,-0.0013838750978707726,0.278
sheet1_to_sheet2,60.0,6.851919019683068,360,0.0012969810097789279,2.170576007353012e-19,0.0012969810097789277,1.0
sheet2_to_sheet1,22.0,2.1515810240154924,132,0.0016746016332049327,0.0037546501579926402,-0.0020800485247877074,0.814
sheet2_to_sheet1,60.0,2.1515810240154924,360,0.0016746016332049327,2.2143980479854148e-05,0.0016524576527250786,1.0
