direction,channel,linear_energy,nonlinear_energy,nonlinear_fraction,constant_constraint_residual,linear_constraint_residual,reconstruction_error
sheet1_to_sheet2,joint_lift,0.0015408631119487753,0.00035954589496920493,0.18919395438580058,4.361576300963959e-18,1.1764862911532598e-17,3.7323785690120706e-16
sheet1_to_sheet2,heater_power,0.003011355165380856,0.00024547660351086336,0.07537282270935278,4.361576300963959e-18,1.1764862911532598e-17,3.7323785690120706e-16
sheet1_to_sheet2,crystal_rotation,0.48727025991269324,9.23313147412062e-05,0.00018945096813579302,4.361576300963959e-18,1.1764862911532598e-17,3.7323785690120706e-16
sheet1_to_sheet2,crucible_rotation,0.009973632767555397,1.7801389379091345e-06,0.0001784526570073492,4.361576300963959e-18,1.1764862911532598e-17,3.7323785690120706e-16
sheet2_to_sheet1,joint_lift,5.3080557467788904e-05,5.846111483713932e-06,0.09920994326907114,5.092742715057778e-19,2.1499834342734395e-18,3.8752117136692227e-16
sheet2_to_sheet1,heater_power,5.243962266686974e-06,2.610381831007592e-06,0.33234879940818995,5.092742715057778e-19,2.1499834342734395e-18,3.8752117136692227e-16
sheet2_to_sheet1,crystal_rotation,0.0005703253654403754,8.970217568467463e-08,0.0001572577247294108,5.092742715057778e-19,2.1499834342734395e-18,3.8752117136692227e-16
sheet2_to_sheet1,crucible_rotation,0.0010126093912089808,2.559546711718911e-08,2.5276103881423656e-05,5.092742715057778e-19,2.1499834342734395e-18,3.8752117136692227e-16
