model,sheet1_to_sheet2_MSE,sheet1_to_sheet2_RMSE,sheet1_to_sheet2_MAE,sheet1_to_sheet2_R2,sheet1_to_sheet2_rows,sheet2_to_sheet1_MSE,sheet2_to_sheet1_RMSE,sheet2_to_sheet1_MAE,sheet2_to_sheet1_R2,sheet2_to_sheet1_rows,pooled_MSE,pooled_RMSE,pooled_MAE,pooled_R2,pooled_rows
Persistence,0.09885069507179642,0.3144053038226239,0.24701602321050214,-0.004410166018019579,3233,0.43302142663366966,0.6580436358127549,0.5403472978390823,-0.0030122249495421194,3130,0.2632313943942329,0.5130608096456334,0.3913075350111396,-0.00019444374720145596,6363
old K-only,0.10572547451888974,0.32515453944069383,0.256597761123295,-0.07426398303748516,3233,0.23651092342599064,0.48632388736930315,0.4055648495833463,0.45216718402468004,3130,0.1700596651646898,0.4123829108543294,0.3298756154184327,0.3538280926001932,6363
Dynamic-PLS,0.10555711684559901,0.32489554759275946,0.27091970446096764,-0.07255332072542431,3233,0.21562985060532672,0.46435961345203863,0.3461397163831038,0.5005342393734351,3130,0.15970259172662177,0.3996280667403402,0.3079209047306967,0.3931816329713046,6363
NLinear-U,0.047465955830512406,0.2178668304963204,0.17403016218212336,0.5177040632713628,3233,0.22307545758914957,0.4723086465322751,0.36471844715161966,0.4832878991980749,3130,0.1338493819666957,0.3658543179555159,0.26783093728105833,0.4914154960498929,6363
R1-LIN-DERIVED,0.12842156884429345,0.35835955246692314,0.2906816279015239,-0.3048763004600612,3233,0.41030880909392137,0.6405535177437724,0.5214845891215608,0.049597257288027,3130,0.26708368765324136,0.5168014005914083,0.40421506631402043,-0.014831916310882542,6363
LIN-UOI,0.1278529248636554,0.35756527357065226,0.290165647246866,-0.2990983765457884,3233,0.41233441913875224,0.6421327114691731,0.5228182123299743,0.04490531478130033,3130,0.2677911736584147,0.5174854332813772,0.4046089175140558,-0.017520135066216413,6363
FULL-UOI,0.16809061286448668,0.4099885521139422,0.33694151318720944,-0.7079487428051476,3233,0.4103002796473354,0.6405468598372296,0.5216703874205056,0.04961701413762287,3130,0.28723508198759157,0.5359431704832067,0.42781081640113633,-0.09140071880254119,6363
