model,sheet1_to_sheet2_MSE,sheet1_to_sheet2_RMSE,sheet1_to_sheet2_MAE,sheet1_to_sheet2_R2,sheet1_to_sheet2_rows,sheet2_to_sheet1_MSE,sheet2_to_sheet1_RMSE,sheet2_to_sheet1_MAE,sheet2_to_sheet1_R2,sheet2_to_sheet1_rows,pooled_MSE,pooled_RMSE,pooled_MAE,pooled_R2,pooled_rows,metric_basis
Temporal Autoencoder,0.05666178600945263,0.2380373626333745,0.17829729547550954,0.5020714201753723,3233,0.2364778519583492,0.48628988469671997,0.36611771271535215,0.46682762492340646,3130,0.1476653543765564,0.38427250015653786,0.2706873482746149,0.4751630747922101,6363,published median pooled MSE across 10 seeds
Joint-K+AR,0.055244801951347386,0.23504212803526814,0.1912669440186072,0.4386641322118825,3233,0.1943107888616701,0.44080697460642576,0.3712719842765196,0.5499158132128091,3130,0.12365224168564098,0.35164220691725984,0.27981256338168525,0.5301613419802109,6363,
FULL-UOI-PSAR,0.16809061286448668,0.4099885521139422,0.33694151318720944,-0.7079487428051476,3233,0.4103002796473354,0.6405468598372296,0.5216703874205056,0.04961701413762287,3130,0.28723508198759157,0.5359431704832067,0.42781081640113633,-0.09140071880254119,6363,
