epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.03806712849934896,0.20165091061583942,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.05603188832600912,0.2455916567003454,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.05310043589274088,0.22473556237953723,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.04569328180948893,0.20329592980899616,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.041811060587565105,0.20511488695803295,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.03974328104654948,0.20100981412243324,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.038571756998697915,0.20105150373304925,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.03809089660644531,0.20285698213321451,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.03806513214111328,0.20047659355393158,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.03821986262003581,0.20307254055158275,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.038287150065104164,0.20003370001111492,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.03815595245361328,0.20057054202419872,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.03806632486979167,0.20050384000302096,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.03809463500976563,0.1995748865600554,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.03811651865641276,0.1999480370728777,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.03811144383748372,0.19956850234364526,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.03813171132405599,0.1990711673783938,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.038155985514322914,0.19909798346302499,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.038180033365885414,0.19890346336360537,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.038210374196370446,0.198556583747462,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.03824099222819011,0.19843152134817388,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.03827816009521484,0.1983498399207371,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.03832020060221354,0.19817825323721153,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.03836403783162435,0.1980374462283398,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.038413861592610676,0.19795884924309987,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,0.03846730295817057,0.19790586850340225,0.4166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,0.03852713012695313,0.19783797884947205,0.43333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,0.03859051259358724,0.19778700051014672,0.45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,0.03865846125284831,0.19776177164142192,0.4666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,0.03873262023925781,0.19776875426511192,0.48333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,0.03881653086344401,0.19778457034634891,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,0.03889703623453776,0.19782582122157913,0.5166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,0.03898515065511068,0.19789048620701805,0.5333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,0.039081202189127605,0.19798736701506636,0.55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,0.039183633168538415,0.19812649602956964,0.5666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,0.03928851826985677,0.1983093905489168,0.5833333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
180,0.03940381876627604,0.1984877058781365,0.6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
185,0.03952241897583008,0.19871819775536567,0.6166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
190,0.0396505126953125,0.19897710528534276,0.6333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
195,0.03978621292114258,0.19926734241938093,0.65,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
200,0.03991804758707682,0.199568072261844,0.6666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
205,0.04005949783325195,0.1999457953432366,0.6833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
210,0.0401996587117513,0.2004431297717761,0.7,"[0, 1, 2, 3, 4, 5, 6, 9]"
215,0.04034620412190755,0.20065994101033105,0.7166666666666667,"[0, 1, 2, 3, 4, 5, 6, 9]"
220,0.0404568608601888,0.20104882841909674,0.7333333333333333,"[0, 1, 2, 3, 4, 5, 6]"
225,0.040578212738037106,0.20133166439215186,0.75,"[0, 1, 2, 3, 4, 5, 6]"
230,0.04069431813557943,0.20168234877129976,0.7666666666666667,"[0, 1, 2, 3, 4, 5, 6]"
235,0.040783058166503905,0.20197127653557612,0.7833333333333333,"[0, 1, 2, 3, 4, 6]"
240,0.04086585998535156,0.20234129915262836,0.8,"[0, 1, 2, 3, 4, 6]"
245,0.040965248107910156,0.20261355759954597,0.8166666666666667,"[0, 1, 2, 3, 4, 6]"
250,0.04105938466389974,0.2029475449313254,0.8333333333333334,"[0, 1, 2, 3, 4, 6]"
255,0.04115118662516276,0.20339410884581588,0.85,"[0, 1, 2, 3, 6]"
260,0.041276727040608724,0.20342990937259878,0.8666666666666667,"[0, 1, 2, 3, 6]"
265,0.0413402468363444,0.2038979527915567,0.8833333333333333,"[0, 1, 2, 6]"
