epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.018181939442952474,0.37190164935368625,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.08430020904541016,0.2639871668152906,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.04906044006347656,0.2310361295907407,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.02791180165608724,0.19372416662454636,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.019040841420491537,0.16672254706423173,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.018496567408243816,0.1485306425493509,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.019725223541259766,0.14652880836514096,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.020065446217854818,0.1482128877294796,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.019747478485107422,0.14753578398528386,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.019286009470621746,0.1483275831729609,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.0189844233194987,0.14655651218570293,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.018818562825520833,0.14675961121468917,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.018780871073404946,0.14561668797948688,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.01880495580037435,0.14574404062745747,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.018887996037801107,0.1451791656111974,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.019002952575683595,0.14528493968522965,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.019156635284423826,0.14517221549838646,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.019340000788370768,0.14533015318258033,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.019558078765869142,0.14554572964441317,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.019807572682698567,0.1458381710158357,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.02008995246887207,0.14631228172289223,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.020405517578125,0.14683228216469757,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.020756512959798176,0.14755229216979499,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.021147380193074543,0.14837344423810522,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.021582279205322265,0.14938403497290184,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,0.022067126592000327,0.15055730921125549,0.4166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,0.022606979370117186,0.15191886613725017,0.43333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,0.023209027608235677,0.1534923522236926,0.45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,0.02388166872660319,0.15528731143795338,0.4666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,0.02463475481669108,0.1573338931499371,0.48333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,0.025478583653767903,0.15964518663920133,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,0.026423349380493164,0.1622369485787096,0.5166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,0.027477887471516926,0.16511637773895063,0.5333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,0.028647691090901692,0.16827873263517232,0.55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,0.02993031311035156,0.1716936687726325,0.5666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,0.031308455149332684,0.17529217988158147,0.5833333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
180,0.03273814900716146,0.17894887891078762,0.6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
185,0.03413774108886719,0.18245231946169696,0.6166666666666667,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
190,0.03540500259399414,0.18534413265535446,0.6333333333333333,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
195,0.03647559102376302,0.187615097323356,0.65,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
200,0.03700904719034831,0.18889063566310252,0.6666666666666666,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
