direction,depth,d_left,d_mid,d_right,loss_left,loss_mid,loss_right,classification,selection_relevance_limit
sheet1_to_sheet2,0,1.0000001177848457,1.483747639948075,485.23151167687826,0.42065753254348154,0.39661293022182753,11140.853123703604,CANDIDATE_BASIN,0.32191800840985113
sheet1_to_sheet2,1,1.0000001177848457,1.0148286350150002,1.483747639948075,0.42065753254348154,0.4198615111215107,0.39661293022182753,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,1,1.483747639948075,16.312272284359413,485.23151167687826,0.39661293022182753,0.6206735039353756,11140.853123703604,SELECTION_RELEVANT,0.32191800840985113
sheet1_to_sheet2,2,1.0148286350150002,1.085625811234242,1.483747639948075,0.4198615111215107,0.4161124061470852,0.39661293022182753,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,2,1.0000001177848457,1.0022389205127562,1.0148286350150002,0.42065753254348154,0.42053711074386846,0.4198615111215107,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,2,1.483747639948075,3.722551487259819,16.312272284359413,0.39661293022182753,0.3298142860132377,0.6206735039353756,CANDIDATE_BASIN,0.32191800840985113
sheet1_to_sheet2,2,16.312272284359413,87.10948390218071,485.23151167687826,0.6206735039353756,55.45798628161439,11140.853123703604,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,3,1.085625811234242,1.2037147108846147,1.483747639948075,0.4161124061470852,0.41004835046432847,0.39661293022182753,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,3,1.0148286350150002,1.0358281382703043,1.085625811234242,0.4198615111215107,0.4187405981925784,0.4161124061470852,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,3,1.0022389205127562,1.0059732184719645,1.0148286350150002,0.42053711074386846,0.4203364375244321,0.4198615111215107,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,3,1.0000001177848457,1.0006641802190188,1.0022389205127562,0.42065753254348154,0.4206218047732851,0.42053711074386846,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,3,1.483747639948075,2.1478104061524816,3.722551487259819,0.39661293022182753,0.3699011201539352,0.3298142860132377,FAR_FIELD_PRUNED,0.32191800840985113
sheet1_to_sheet2,3,3.722551487259819,7.456851313616582,16.312272284359413,0.3298142860132377,0.29265994829336733,0.6206735039353756,CANDIDATE_BASIN,0.32191800840985113
sheet1_to_sheet2,3,16.312272284359413,37.31178603941268,87.10948390218071,0.6206735039353756,1.3291483264218096,55.45798628161439,FAR_FIELD_PRUNED,0.32191800840985113
sheet2_to_sheet1,0,1.0000001732168362,1.5770133727450497,578.5905014074858,0.05854695778083282,0.05396110551463739,0.3234184411160426,CANDIDATE_BASIN,0.054469188526483095
sheet2_to_sheet1,1,1.0000001732168362,1.01768760266964,1.5770133727450497,0.05854695778083282,0.058375008606893354,0.05396110551463739,SELECTION_RELEVANT,0.054469188526483095
sheet2_to_sheet1,1,1.5770133727450497,19.26445166926129,578.5905014074858,0.05396110551463739,0.036626102293005135,0.3234184411160426,CANDIDATE_BASIN,0.054469188526483095
sheet2_to_sheet1,2,1.01768760266964,1.1021343508103847,1.5770133727450497,0.058375008606893354,0.057583205039290285,0.05396110551463739,SELECTION_RELEVANT,0.054469188526483095
sheet2_to_sheet1,2,1.0000001732168362,1.00267061320042,1.01768760266964,0.05854695778083282,0.058520859612024516,0.058375008606893354,FAR_FIELD_PRUNED,0.054469188526483095
sheet2_to_sheet1,2,1.5770133727450497,4.247454691548389,19.26445166926129,0.05396110551463739,0.05071082829319825,0.036626102293005135,SELECTION_RELEVANT,0.054469188526483095
sheet2_to_sheet1,2,19.26445166926129,103.71124203336953,578.5905014074858,0.036626102293005135,0.04552424932488782,0.3234184411160426,SELECTION_RELEVANT,0.054469188526483095
sheet2_to_sheet1,3,1.1021343508103847,1.2429905840605795,1.5770133727450497,0.057583205039290285,0.05636627067488806,0.05396110551463739,SELECTION_RELEVANT,0.054469188526483095
sheet2_to_sheet1,3,1.01768760266964,1.0427357734750662,1.1021343508103847,0.058375008606893354,0.05813514849138252,0.057583205039290285,FAR_FIELD_PRUNED,0.054469188526483095
sheet2_to_sheet1,3,1.00267061320042,1.00712487728388,1.01768760266964,0.058520859612024516,0.058477437015742324,0.058375008606893354,FAR_FIELD_PRUNED,0.054469188526483095
sheet2_to_sheet1,3,1.0000001732168362,1.000792265728474,1.00267061320042,0.05854695778083282,0.05853921156505021,0.058520859612024516,FAR_FIELD_PRUNED,0.054469188526483095
sheet2_to_sheet1,3,4.247454691548389,8.701721002139845,19.26445166926129,0.05071082829319825,0.058956695279000854,0.036626102293005135,SELECTION_RELEVANT,0.054469188526483095
sheet2_to_sheet1,3,1.5770133727450497,2.3691062804289613,4.247454691548389,0.05396110551463739,0.050527676618021766,0.05071082829319825,CANDIDATE_BASIN,0.054469188526483095
sheet2_to_sheet1,3,19.26445166926129,44.312634998769695,103.71124203336953,0.036626102293005135,0.03705453980834758,0.04552424932488782,SELECTION_RELEVANT,0.054469188526483095
