dataset,experiment,status,result_source,notes
Cascaded Tanks,E2,COMPLETED,TANKS_H16_CORRECTED_R3/E2_SEMISYNTHETIC,30 seeds per regime; stage-vector accuracy 0.4466667; null false-admission 0.30
CZ,E2,NOT_YET_RUN,scripts/run_cz_raw2s_e1_e6.py,Corrected raw-2s L256 H4 runner ready; old D20 result excluded
