dataset,experiment,status,result_source,notes
Cascaded Tanks,E1,COMPLETED,TANKS/E1_STAGEWISE,W RMSE gain 25.5253%; H16 direct 64-second task
CZ,E1,COMPLETED,CZ_RAW2S_H4_CORRECTED_R2/E1_STAGEWISE,Only A admitted in both dynamic directions; formal RMSE 0.0151283/0.0161298
