dataset,experiment,status,result_source,notes
Cascaded Tanks,E6,COMPLETED_VALIDATED,/root/autodl-tmp/PRISM_TANKS_CZ_SUPPLEMENTARY_20260916/TANKS_E2_E6_VALIDATED_R4/E6_MEASUREMENT_ROBUSTNESS,N1/N2 raw measurement perturbations; no stage flips observed
CZ,E6,COMPLETED_R5_REUSED,/root/autodl-tmp/PRISM_CZ_E1_E6_PRIVATE_20260915_R5,160 N1 and 160 N2 rows
