direction,seed,arm,candidate_fit_budget,selected_candidate,support_hash,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill,parameter_count,prediction_hash
Rod_1_to_Rod_2,7,UNIFORM_SCALE,6,U:h=240|a=10000,b8750c23571029789b0d7cd3a46dd35b54177eb3cf0a5bb386da33c73a4ee05e,0.8443995657874979,0.7288880670171167,0.13387806194180618,-1.45927622223781,0.07012558062667185,31,80f3ab38105d8f97292d823a5e5128042d53f9954f2916268abf2cf36fbd5444
Rod_1_to_Rod_2,7,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=480,480,240,960|a=10000",b8750c23571029789b0d7cd3a46dd35b54177eb3cf0a5bb386da33c73a4ee05e,0.8917741996079506,0.756326476102035,0.033965040622191967,-1.7429703613957894,0.017955421022511464,31,3c605b23f4ca15b157981de758fdace2f8a002f5af2cfc3fb187c44449f95737
Rod_1_to_Rod_2,8,UNIFORM_SCALE,6,U:h=240|a=10000,b8750c23571029789b0d7cd3a46dd35b54177eb3cf0a5bb386da33c73a4ee05e,0.8443995657874979,0.7288880670171167,0.13387806194180618,-1.45927622223781,0.07012558062667185,31,80f3ab38105d8f97292d823a5e5128042d53f9954f2916268abf2cf36fbd5444
Rod_1_to_Rod_2,8,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=480,480,480,240|a=10000",b8750c23571029789b0d7cd3a46dd35b54177eb3cf0a5bb386da33c73a4ee05e,0.8603373627971751,0.7322268905939051,0.10087390096908544,-1.5529886023872947,0.05257447053503872,31,e382867b901d7efe2fe40f451d3d72b1ca82b907a5f800b0b7bb294981db7567
Rod_1_to_Rod_2,9,UNIFORM_SCALE,6,U:h=240|a=10000,b8750c23571029789b0d7cd3a46dd35b54177eb3cf0a5bb386da33c73a4ee05e,0.8443995657874979,0.7288880670171167,0.13387806194180618,-1.45927622223781,0.07012558062667185,31,80f3ab38105d8f97292d823a5e5128042d53f9954f2916268abf2cf36fbd5444
Rod_1_to_Rod_2,9,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=960,240,480,480|a=10000",b8750c23571029789b0d7cd3a46dd35b54177eb3cf0a5bb386da33c73a4ee05e,0.8479514115732836,0.7363459235808654,0.12657630160339184,-1.4800089214013896,0.06621419711632992,31,905dc7e1ab3b46cf6c06a3392762d68a4465f388d8435c81120c4d715bc4639b
Rod_2_to_Rod_1,0,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,0,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=480,480,480,240|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.17078478843769712,0.14329145776341132,-0.06505605432957084,-1.4047352668814166,-0.030522113874483336,31,547ccef0a9bc9849e2e9e7b6b17659faeadfd15e92266d3bb01c86bb8b56ae87
Rod_2_to_Rod_1,1,UNIFORM_SCALE,6,U:h=240|a=10000,3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1642520835464652,0.13923633698658966,0.014864730198579812,-1.2242862394988667,0.008896483738420446,31,936bbeba1d341d1d828231b8cc675ff560c7261974ca280c9b7769dcc3d959a4
Rod_2_to_Rod_1,1,CHANNEL_SPECIFIC_MULTISCALE,6,"M:h=240,480,480,480|a=10000",3a10c77265668a2dbadb379ac8dd45f2fe00256291d9e7cf2d52c46c443220b3,0.1748453525282818,0.14664262692791788,-0.11630348203237029,-1.5204441971606526,-0.05502371690617647,31,16a40d400c61dca64189a26b84c62015b3c6c3a05fa268c5d1c650e5fa6814a1
