epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.042894213358561195,0.22463849165896405,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.06639324188232422,0.2940637868595647,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.061456417083740236,0.2419626917809173,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.053447784423828124,0.24029660493545443,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.04911960728963216,0.22746292818283548,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.046573941548665364,0.22982590430380667,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.04502531941731771,0.22372303890844084,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.044000232696533206,0.22493887176900937,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.04334225591023763,0.22307844429610477,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.04295788319905599,0.2230231181251435,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.04283168538411458,0.22390086964161066,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.0428681640625,0.22275280595546973,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.0429139404296875,0.2236589350872993,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.042891438802083334,0.22273263149856903,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.04283616256713867,0.22276302949450638,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.04282689921061198,0.22298664836514562,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.04284044901529948,0.22256249739473638,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.042833449045817054,0.22262816777403927,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.04283130645751953,0.22262631720400083,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.04283709716796875,0.22241672629161086,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.042838087717692055,0.22240006334866508,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.042843538920084634,0.22237491649263733,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.042849533081054686,0.22225592781460402,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.04285619608561198,0.2221854603347836,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.042863821665445966,0.22215268233811522,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,0.042874220530192055,0.22208835713022584,0.4166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,0.04288465372721354,0.22201746705218833,0.43333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,0.042895174662272134,0.2219654339522911,0.45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,0.04290854136149089,0.2219199895243515,0.4666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,0.042923614501953124,0.22187164733932635,0.48333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,0.04294026692708333,0.22182085263027254,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,0.042957515716552735,0.22178223295882196,0.5166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,0.04297680155436198,0.22175048773022743,0.5333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,0.04299730173746745,0.22171632062402327,0.55,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,0.04302019500732422,0.22169094134429826,0.5666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,0.04304476165771484,0.22167059280628065,0.5833333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
180,0.04307239532470703,0.22165397703327583,0.6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
185,0.04310061136881511,0.2216448382574516,0.6166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
190,0.043131916046142575,0.22164056992420889,0.6333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
195,0.04316641362508138,0.22164378839278456,0.65,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
200,0.04320063654581706,0.22165056939821018,0.6666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
205,0.043239317576090494,0.22166480195066632,0.6833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
210,0.043281187693277996,0.2216923007149528,0.7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
215,0.04332574208577474,0.2217291726155346,0.7166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
220,0.043374899546305336,0.22177441533320907,0.7333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
225,0.043425594329833984,0.22183335464137333,0.75,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
230,0.04347943878173828,0.22191376683222688,0.7666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
235,0.043539827982584635,0.2219900858959336,0.7833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
240,0.043603708902994795,0.22209604347411385,0.8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
245,0.04367032877604167,0.22220913509403317,0.8166666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
250,0.043741507212320965,0.2223464556038168,0.8333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
255,0.04382144292195638,0.22249286425860065,0.85,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
260,0.04389388910929362,0.22265729509074905,0.8666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
265,0.04397687276204427,0.22283272371895868,0.8833333333333333,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
270,0.04405987548828125,0.2230526385255791,0.9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
275,0.04415099080403646,0.22326752713252995,0.9166666666666666,"[0, 1, 2, 4, 6, 7, 8, 9]"
280,0.04424260330200196,0.22354979354244792,0.9333333333333333,"[0, 1, 2, 4, 6, 7, 8, 9]"
285,0.044340217590332034,0.22381000758372915,0.95,"[0, 1, 2, 4, 6, 7, 8, 9]"
290,0.04444681676228841,0.22407011521937464,0.9666666666666667,"[0, 1, 2, 6, 7, 8, 9]"
295,0.04455393473307292,0.22431163179915656,0.9833333333333333,"[0, 1, 2, 6, 7, 8, 9]"
300,0.04466245778401693,0.22470563494378212,1.0,"[0, 1, 2, 6, 7, 9]"
305,0.0447715326944987,0.22502761671335234,1.0,"[0, 1, 2, 6, 7, 9]"
310,0.04487902323404948,0.2252921179072035,1.0,"[0, 1, 2, 6, 7, 9]"
315,0.04498401514689128,0.22559837458951612,1.0,"[0, 1, 2, 6, 7, 9]"
320,0.04508642578125,0.22594723840094977,1.0,"[0, 1, 2, 6, 7, 9]"
325,0.04518173726399739,0.22625436177975716,1.0,"[0, 1, 2, 6, 7, 9]"
330,0.045271890004475915,0.2265424880035743,1.0,"[0, 1, 2, 6, 7, 9]"
335,0.04535170618693034,0.22681898870618245,1.0,"[0, 1, 2, 6, 7, 9]"
340,0.045421422322591144,0.22711609023762322,1.0,"[0, 2, 6, 7, 9]"
345,0.045482298533121746,0.2273147197423067,1.0,"[0, 2, 6, 7, 9]"
350,0.04554415766398112,0.22752160944330513,1.0,"[0, 2, 6, 7, 9]"
355,0.04558769226074219,0.22773115885379108,1.0,"[0, 2, 6, 7, 9]"
360,0.04561443456013997,0.22784825090277327,1.0,"[0, 2, 6, 7, 9]"
365,0.045632216135660805,0.22795552686654452,1.0,"[0, 6, 7, 9]"
370,0.04562417984008789,0.22784764818020395,1.0,"[0, 6, 7, 9]"
375,0.04560231781005859,0.22780816637896306,1.0,"[0, 6, 7, 9]"
380,0.04559476470947266,0.22785994507928156,1.0,"[0, 6, 7, 9]"
385,0.045590991973876956,0.22782575655070345,1.0,"[0, 6, 7, 9]"
390,0.0455754763285319,0.2277794465208049,1.0,"[0, 6, 7, 9]"
395,0.04557075627644857,0.2278076389040051,1.0,"[0, 6, 7, 9]"
400,0.04556917317708333,0.22779931635967557,1.0,"[0, 6, 7, 9]"
405,0.04555662027994792,0.22775674438540147,1.0,"[0, 6, 7, 9]"
410,0.0455480588277181,0.22775474287134093,1.0,"[0, 6, 7, 9]"
415,0.04555085881551107,0.2277578581910478,1.0,"[0, 6, 7, 9]"
420,0.04554207102457682,0.2277264350566987,1.0,"[0, 6, 7, 9]"
425,0.04553650538126627,0.22772072281656244,1.0,"[0, 6, 7, 9]"
430,0.045541175842285155,0.2277212002380143,1.0,"[0, 6, 7, 9]"
435,0.045534202575683594,0.22769377619731757,1.0,"[0, 6, 7, 9]"
440,0.045526963551839196,0.22767189490522613,1.0,"[0, 6, 7, 9]"
445,0.04552701822916667,0.22766310661217087,1.0,"[0, 6, 7, 9]"
450,0.045525328318278,0.2276427305418618,1.0,"[0, 6, 7, 9]"
455,0.04552444712320963,0.22763053083744267,1.0,"[0, 6, 7, 9]"
460,0.045525983174641925,0.22761979690294662,1.0,"[0, 6, 7, 9]"
465,0.045525628407796226,0.2275953860011312,1.0,"[0, 6, 7, 9]"
470,0.04552588907877604,0.22757886756176057,1.0,"[0, 6, 7, 9]"
475,0.04552872467041016,0.22756425893219562,1.0,"[0, 6, 7, 9]"
480,0.045530054728190106,0.22753543284390432,1.0,"[0, 6, 7, 9]"
485,0.045532544453938804,0.22751614356140684,1.0,"[0, 6, 7, 9]"
