epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.03806712849934896,0.20165039038853275,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.056024319966634116,0.24559324879515676,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.05312356694539388,0.22482191031441282,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.04569753519694011,0.20332436505327248,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.04182766850789388,0.2052488686533889,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.03973932647705078,0.20115551928354444,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.03856955718994141,0.20125510262601495,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.03807981236775716,0.2032227360268344,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.03805536905924479,0.20078585727021794,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.03821442159016927,0.20362374916886766,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.0382683957417806,0.20051517891445939,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.03812788645426432,0.20118598251505215,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.03802616628011068,0.20128002629872743,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.038047693888346355,0.20033019465284918,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.03805840810139974,0.20083981620909322,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.03803629302978516,0.20057428877750885,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.03804368336995443,0.20009113142881882,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.03805077616373698,0.20019386432403039,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.03805357615152995,0.2000904832245921,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.03806578826904297,0.1997574002419335,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.0380727055867513,0.1996395104759236,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.03808525848388672,0.19958663183790248,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
