epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.04151666005452474,0.2005895223176501,0.003,[]
5,0.04161246490478516,0.20073520948905124,0.003,[]
10,0.041644532521565754,0.20026742222656543,0.003,[]
15,0.041534408569335934,0.20022078725112671,0.003,[]
20,0.04152831522623698,0.20023399016618304,0.003,[]
25,0.041520306905110674,0.20023803850469818,0.003,[]
30,0.041512855529785155,0.20018361246298477,0.003,[]
35,0.041474599202473955,0.20015495019947788,0.003,[]
40,0.04148034795125326,0.20016834803162797,0.003,[]
45,0.041487937927246095,0.20014358134978394,0.003,[]
50,0.041465953826904295,0.20010908966389626,0.003,[]
55,0.04144848378499349,0.2000977277406534,0.003,[]
60,0.041444794972737634,0.20007303811622068,0.003,[]
65,0.04143637339274089,0.20007324784786829,0.003,[]
70,0.041438357035319014,0.20006655539323423,0.003,[]
75,0.041424229939778644,0.2000366177416025,0.003,[]
80,0.04142370096842448,0.20004067960926136,0.003,[]
85,0.04140890502929687,0.20001099556261218,0.003,[]
90,0.0414031753540039,0.20000991796697545,0.003,[]
95,0.04139748891194661,0.19999132137542439,0.003,[]
100,0.04138657379150391,0.19997539368896036,0.003,[]
105,0.04138434092203776,0.199969632704334,0.003,[]
110,0.041374588012695314,0.19995469533868987,0.003,[]
115,0.041368972778320315,0.19994511804976284,0.003,[]
120,0.04136077245076497,0.1999324779970894,0.003,[]
125,0.041362167358398434,0.19991701311741594,0.003,[]
130,0.04135317738850911,0.19990729090574808,0.003,[]
135,0.04134108479817708,0.19989899946060652,0.003,[]
140,0.0413354237874349,0.19988323617919726,0.003,[]
145,0.04132805887858073,0.19987159421689887,0.003,[]
150,0.04132370249430339,0.1998643605905699,0.003,[]
155,0.04131658935546875,0.19985330924166292,0.003,[]
160,0.04130796432495117,0.19984764017788145,0.003,[]
165,0.04131859588623047,0.1998538055156858,0.003,[]
170,0.0413026123046875,0.19982215603623327,0.003,[]
175,0.041295631408691406,0.19981925426494815,0.003,[]
180,0.04128852081298828,0.19980027716906684,0.003,[]
185,0.041277488708496096,0.199792258136127,0.003,[]
190,0.04127739969889323,0.1997831122271158,0.003,[]
195,0.041275638580322266,0.19976751166248308,0.003,[]
200,0.041266527811686195,0.1997667478336649,0.003,[]
205,0.04126203155517578,0.19975331351691347,0.003,[]
210,0.04125475565592448,0.1997479185299092,0.003,[]
215,0.04123987070719401,0.19973164674855765,0.003,[]
220,0.0412416025797526,0.19972702470976247,0.003,[]
225,0.041231030782063804,0.19970352132459598,0.003,[]
230,0.04122686767578125,0.1997045241667205,0.003,[]
235,0.04122106679280599,0.19968780947379186,0.003,[]
240,0.04121046956380208,0.19968005338105685,0.003,[]
245,0.04120997111002604,0.19967067307330558,0.003,[]
250,0.041198490142822265,0.19965370716118228,0.003,[]
255,0.04119774881998698,0.19965229327009448,0.003,[]
260,0.041192553202311195,0.1996399499577693,0.003,[]
265,0.04118436050415039,0.19963245952621125,0.003,[]
270,0.041168813069661456,0.19963028113366924,0.003,[]
275,0.04116974639892578,0.19961023498469344,0.003,[]
280,0.0411585693359375,0.1995910851148523,0.003,[]
285,0.041152777353922525,0.19958535126347535,0.003,[]
290,0.04114654159545898,0.19956815827827842,0.003,[]
295,0.041144526163736976,0.1995719142930923,0.003,[]
300,0.04113964335123698,0.19955677511460396,0.003,[]
305,0.04112565358479818,0.19954226565740754,0.003,[]
310,0.04112521743774414,0.19953537377358155,0.003,[]
315,0.041113199869791665,0.1995181382425993,0.003,[]
320,0.04110911560058594,0.19951175221028844,0.003,[]
325,0.0411012446085612,0.19950006944851156,0.003,[]
330,0.04109533437093099,0.19949098663237544,0.003,[]
335,0.041090530395507814,0.19948368183600296,0.003,[]
340,0.04108165105183919,0.19947081174028475,0.003,[]
345,0.04107503890991211,0.1994609434670106,0.003,[]
350,0.04106972757975261,0.19945277691043853,0.003,[]
355,0.041068571726481116,0.1994389102112474,0.003,[]
360,0.041057912190755205,0.19943502736269814,0.003,[]
365,0.041050020853678384,0.19943083839205464,0.003,[]
370,0.041054288228352866,0.19942877256591748,0.003,[]
375,0.04104470698038737,0.19940720444561288,0.003,[]
380,0.04103131866455078,0.19939496074954968,0.003,[]
385,0.04102799733479818,0.19938145355016196,0.003,[]
390,0.04101934941609701,0.199373915140196,0.003,[]
395,0.041016273498535157,0.19936506575465868,0.003,[]
400,0.04100785446166992,0.1993601099271762,0.003,[]
405,0.041007240295410155,0.19935042753037419,0.003,[]
410,0.04100588862101237,0.1993342094189498,0.003,[]
415,0.04099278513590495,0.19932928153080254,0.003,[]
420,0.040991348266601564,0.19931552107379388,0.003,[]
425,0.04098191833496094,0.19931245881227036,0.003,[]
430,0.040968945821126306,0.19929906086487487,0.003,[]
435,0.04097182210286458,0.1992977018798997,0.003,[]
440,0.04096680704752604,0.19928920322846772,0.003,[]
445,0.04095559692382812,0.19927446371687577,0.003,[]
450,0.040943436940511065,0.19925571233393807,0.003,[]
455,0.04093854014078776,0.19924771924789572,0.003,[]
460,0.040933456420898434,0.19924094162552086,0.003,[]
465,0.04092378489176432,0.1992269835921102,0.003,[]
470,0.04092028299967448,0.19922025313464795,0.003,[]
475,0.040911534627278645,0.19920768198421324,0.003,[]
480,0.040908472696940104,0.19920292331434902,0.003,[]
485,0.040899898529052736,0.19919029361715662,0.003,[]
490,0.04089246622721354,0.19917886013017022,0.003,[]
495,0.04089005533854167,0.19917442636523375,0.003,[]
500,0.04089194615681966,0.19916991588969407,0.003,[]
505,0.04088349914550781,0.1991643327179893,0.003,[]
510,0.040868202209472654,0.19915735113898084,0.003,[]
515,0.04086665725708008,0.19914022655903646,0.003,[]
520,0.04086180877685547,0.1991250737172749,0.003,[]
525,0.04085933558146159,0.19912606031539046,0.003,[]
530,0.04084374364217122,0.19911801412987573,0.003,[]
535,0.04084174092610677,0.19910271590184847,0.003,[]
540,0.040838361104329424,0.19908899726757331,0.003,[]
545,0.0408337033589681,0.19908752188328857,0.003,[]
550,0.0408178965250651,0.19908651593318924,0.003,[]
555,0.04081562805175781,0.1990631381373455,0.003,[]
560,0.040806561787923176,0.19904743323205534,0.003,[]
565,0.04080253092447916,0.19904151123160055,0.003,[]
570,0.040793202718098956,0.19903509074078218,0.003,[]
575,0.04079892222086588,0.1990344870123358,0.003,[]
580,0.04078249486287435,0.19901050888760893,0.003,[]
585,0.040782220204671225,0.19901005843156166,0.003,[]
590,0.04076897684733073,0.19899085080378262,0.003,[]
595,0.04076600138346354,0.19898621155782809,0.003,[]
600,0.04075740559895833,0.19897292584602197,0.003,[]
605,0.04075294240315755,0.19896650314200778,0.003,[]
610,0.04074802652994792,0.19896489264043032,0.003,[]
615,0.04074745686848958,0.19895760687517353,0.003,[]
620,0.04073875935872396,0.19893864346150722,0.003,[]
625,0.0407301762898763,0.19893120332724717,0.003,[]
630,0.04072175089518229,0.19892545045535825,0.003,[]
635,0.040719000498453777,0.19891467296089704,0.003,[]
640,0.040708632151285805,0.19890496888089,0.003,[]
645,0.04070467249552409,0.19889380668560452,0.003,[]
650,0.04070123799641927,0.19889402725051283,0.003,[]
655,0.04069349797566732,0.19887616070037623,0.003,[]
660,0.040687769571940105,0.1988739932050942,0.003,[]
665,0.040678641001383464,0.19886112201636943,0.003,[]
670,0.04067886352539062,0.19885987513564632,0.003,[]
675,0.04066630427042643,0.1988469167046826,0.003,[]
680,0.04066445159912109,0.19883877289145713,0.003,[]
685,0.040658960978190106,0.19882582267822224,0.003,[]
690,0.04065415700276693,0.1988221964673599,0.003,[]
695,0.04065142567952474,0.1988176684075037,0.003,[]
700,0.04063905588785807,0.1987987300225878,0.003,[]
705,0.04062957000732422,0.19878671750802968,0.003,[]
710,0.040623761494954426,0.19877658498249912,0.003,[]
715,0.04061660003662109,0.19877349522706783,0.003,[]
720,0.04061176300048828,0.19876000337198046,0.003,[]
725,0.040605069478352865,0.1987570669009442,0.003,[]
730,0.04060222752888997,0.19874340118393907,0.003,[]
735,0.04059500122070313,0.19873503238771098,0.003,[]
740,0.04059356943766276,0.19872746945678954,0.003,[]
745,0.04059097544352214,0.19873164446058852,0.003,[]
750,0.04057615280151367,0.19871823614839604,0.003,[]
755,0.04057221984863281,0.19870470214563407,0.003,[]
760,0.040566876729329425,0.19869441184722939,0.003,[]
765,0.04056422424316406,0.19869148400636197,0.003,[]
770,0.04055834197998047,0.19867502969809042,0.003,[]
775,0.04054857635498047,0.19866826134026755,0.003,[]
780,0.04054068247477213,0.1986588716620505,0.003,[]
785,0.040534281412760415,0.19865355256766465,0.003,[]
790,0.04053610992431641,0.19865343735104793,0.003,[]
795,0.04052443186442057,0.19863285090953414,0.003,[]
800,0.040521761576334636,0.19863198669321946,0.003,[]
805,0.04051764424641927,0.19862372843657647,0.003,[]
810,0.04050897471110026,0.1986118685953179,0.003,[]
815,0.04050668334960938,0.19859840417626076,0.003,[]
820,0.040496159871419274,0.19859384220100143,0.003,[]
825,0.04048646799723307,0.19858786825598645,0.003,[]
830,0.040490366617838544,0.1985868981932927,0.003,[]
835,0.040479873657226564,0.19856722698882914,0.003,[]
840,0.04047139739990235,0.19856163647649716,0.003,[]
845,0.040463926951090495,0.19854750580288555,0.003,[]
850,0.04045868810017904,0.1985396283082777,0.003,[]
855,0.04045435587565104,0.19853307630028277,0.003,[]
860,0.04044726308186849,0.19852366101282132,0.003,[]
865,0.040441421508789065,0.19851801162600186,0.003,[]
870,0.04043893686930339,0.19850677962940685,0.003,[]
875,0.040430686950683595,0.1985016678516646,0.003,[]
880,0.04042443466186523,0.19849181866060706,0.003,[]
885,0.040419647216796875,0.19848409270919862,0.003,[]
890,0.040416056315104164,0.19848389090793028,0.003,[]
