epoch,train_mse,lag_logit_roughness,smoothness_penalty,validation_rmse,learning_rate,external_support
1,0.03251984723409017,6276.669921875,0.0,0.18613604035435705,0.003,"[0, 1, 3]"
5,0.034878997802734374,6277.2646484375,0.0,0.1943353976908332,0.003,"[0, 1, 3]"
10,0.034461814880371096,6278.0625,0.0,0.18756120827117886,0.003,"[0, 1, 3]"
15,0.0333665828704834,6278.916015625,0.0,0.18571696562457826,0.003,"[0, 1, 3]"
20,0.032806262334187826,6279.85400390625,0.0,0.18520653408050505,0.003,"[0, 1, 3]"
25,0.03250792439778646,6280.8798828125,0.0,0.18503058309616874,0.003,"[0, 1, 3]"
30,0.03235774485270182,6282.0107421875,0.0,0.18508481736198656,0.003,"[0, 1, 3]"
35,0.032306817372639976,6283.25439453125,0.0,0.18510026431402277,0.003,"[0, 1, 3]"
40,0.03230675633748372,6284.60546875,0.0,0.1850763771551069,0.003,"[0, 1, 3]"
45,0.03229767354329427,6286.0615234375,0.0,0.184900271366925,0.003,"[0, 1, 3]"
50,0.032250691731770836,6287.6015625,0.0,0.18475125472658332,0.003,"[0, 1, 3]"
55,0.03219694455464681,6289.21826171875,0.0,0.18469370048945438,0.003,"[0, 1, 3]"
60,0.03216982078552246,6290.90087890625,0.0,0.18465047655619965,0.003,"[0, 1, 3]"
65,0.032149190266927086,6292.646484375,0.0,0.18459292189562646,0.003,"[0, 1, 3]"
70,0.03211812973022461,6294.4560546875,0.0,0.18452243922789793,0.003,"[0, 1, 3]"
75,0.03209264628092448,6296.330078125,0.0,0.18448514073192698,0.003,"[0, 1, 3]"
80,0.03206935755411784,6298.271484375,0.0,0.1844295925202026,0.003,"[0, 1, 3]"
85,0.03204391860961914,6300.2802734375,0.0,0.18438247924117696,0.003,"[0, 1, 3]"
90,0.032021008173624674,6302.357421875,0.0,0.18433520906033227,0.003,"[0, 1, 3]"
95,0.03199732398986816,6304.50146484375,0.0,0.18428461477938077,0.003,"[0, 1, 3]"
100,0.03197456232706706,6306.71435546875,0.0,0.18423937965954504,0.003,"[0, 1, 3]"
105,0.031951753616333005,6308.99755859375,0.0,0.18419144108506819,0.003,"[0, 1, 3]"
110,0.031929388682047526,6311.3486328125,0.0,0.18414444295933216,0.003,"[0, 1, 3]"
115,0.03190712038675944,6313.771484375,0.0,0.18409889366567575,0.003,"[0, 1, 3]"
120,0.031885149002075196,6316.267578125,0.0,0.1840525973235449,0.003,"[0, 1, 3]"
125,0.03186332448323568,6318.837890625,0.0,0.1840067454221172,0.003,"[0, 1, 3]"
130,0.03184173583984375,6321.48828125,0.0,0.18396145234392539,0.003,"[0, 1, 3]"
135,0.031820337931315106,6324.21728515625,0.0,0.18391627256036916,0.003,"[0, 1, 3]"
140,0.0317991460164388,6327.02783203125,0.0,0.18387134100763314,0.003,"[0, 1, 3]"
145,0.03177817153930664,6329.9208984375,0.0,0.18382702102037818,0.003,"[0, 1, 3]"
150,0.031757406870524085,6332.896484375,0.0,0.18378276299312912,0.003,"[0, 1, 3]"
155,0.03173686917622884,6335.95703125,0.0,0.18373878496679524,0.003,"[0, 1, 3]"
160,0.03171656036376953,6339.10205078125,0.0,0.18369520135799172,0.003,"[0, 1, 3]"
165,0.0316964848836263,6342.3349609375,0.0,0.18365202283319032,0.003,"[0, 1, 3]"
170,0.031676648457845055,6345.654296875,0.0,0.18360901075204805,0.003,"[0, 1, 3]"
175,0.03165705235799154,6349.0595703125,0.0,0.18356630030832652,0.003,"[0, 1, 3]"
180,0.031637701670328776,6352.55419921875,0.0,0.18352390210553765,0.003,"[0, 1, 3]"
185,0.031618600845336915,6356.13623046875,0.0,0.18348186833663097,0.003,"[0, 1, 3]"
190,0.03159975306193034,6359.806640625,0.0,0.1834401056731727,0.003,"[0, 1, 3]"
195,0.03158116149902344,6363.56640625,0.0,0.1833987079004929,0.003,"[0, 1, 3]"
200,0.03156283442179362,6367.416015625,0.0,0.18335757124232632,0.003,"[0, 1, 3]"
205,0.03154477055867513,6371.3544921875,0.0,0.18331690396761952,0.003,"[0, 1, 3]"
210,0.03152698262532552,6375.38330078125,0.0,0.18327651906391487,0.003,"[0, 1, 3]"
215,0.0315094731648763,6379.50244140625,0.0,0.18323657285618522,0.003,"[0, 1, 3]"
220,0.03149225298563639,6383.7099609375,0.0,0.18319695110532574,0.003,"[0, 1, 3]"
225,0.03147532780965169,6388.0087890625,0.0,0.18315781022731634,0.003,"[0, 1, 3]"
230,0.031458703994750974,6392.3974609375,0.0,0.1831191713622857,0.003,"[0, 1, 3]"
